w1,w2,count,support
N11,N21,34,0.027755102040816326
N33,N40,33,0.026938775510204082
N06,N38,31,0.025306122448979593
N01,N28,30,0.024489795918367346
N10,N31,30,0.024489795918367346
N12,N24,30,0.024489795918367346
N03,N13,29,0.0236734693877551
N03,N20,29,0.0236734693877551
N03,N24,29,0.0236734693877551
N14,N15,29,0.0236734693877551
N15,N34,29,0.0236734693877551
N19,N21,29,0.0236734693877551
N24,N27,29,0.0236734693877551
N34,N42,29,0.0236734693877551
N37,N40,29,0.0236734693877551
N03,N27,28,0.022857142857142857
N13,N33,28,0.022857142857142857
N30,N34,28,0.022857142857142857
N01,N03,27,0.022040816326530613
N06,N28,27,0.022040816326530613
N07,N18,27,0.022040816326530613
N08,N27,27,0.022040816326530613
N08,N39,27,0.022040816326530613
N12,N15,27,0.022040816326530613
N12,N34,27,0.022040816326530613
N18,N31,27,0.022040816326530613
N18,N45,27,0.022040816326530613
N19,N45,27,0.022040816326530613
N21,N34,27,0.022040816326530613
N25,N36,27,0.022040816326530613
N27,N35,27,0.022040816326530613
N31,N34,27,0.022040816326530613
N04,N20,26,0.02122448979591837
N04,N33,26,0.02122448979591837
N05,N11,26,0.02122448979591837
N05,N20,26,0.02122448979591837
N05,N34,26,0.02122448979591837
N07,N19,26,0.02122448979591837
N07,N24,26,0.02122448979591837
N10,N16,26,0.02122448979591837
N11,N17,26,0.02122448979591837
N11,N44,26,0.02122448979591837
N12,N42,26,0.02122448979591837
N20,N33,26,0.02122448979591837
N20,N35,26,0.02122448979591837
N26,N27,26,0.02122448979591837
N27,N38,26,0.02122448979591837
N27,N40,26,0.02122448979591837
N34,N44,26,0.02122448979591837
N01,N12,25,0.02040816326530612
N03,N12,25,0.02040816326530612
N06,N37,25,0.02040816326530612
N07,N33,25,0.02040816326530612
N07,N38,25,0.02040816326530612
N10,N40,25,0.02040816326530612
N11,N39,25,0.02040816326530612
N12,N26,25,0.02040816326530612
N12,N33,25,0.02040816326530612
N13,N18,25,0.02040816326530612
N13,N28,25,0.02040816326530612
N17,N45,25,0.02040816326530612
N18,N34,25,0.02040816326530612
N19,N34,25,0.02040816326530612
N20,N44,25,0.02040816326530612
N27,N45,25,0.02040816326530612
N29,N33,25,0.02040816326530612
N31,N40,25,0.02040816326530612
N36,N39,25,0.02040816326530612
N01,N02,24,0.019591836734693877
N01,N42,24,0.019591836734693877
N03,N22,24,0.019591836734693877
N04,N26,24,0.019591836734693877
N04,N40,24,0.019591836734693877
N05,N12,24,0.019591836734693877
N05,N13,24,0.019591836734693877
N05,N14,24,0.019591836734693877
N05,N27,24,0.019591836734693877
N06,N11,24,0.019591836734693877
N06,N17,24,0.019591836734693877
N06,N18,24,0.019591836734693877
N07,N12,24,0.019591836734693877
N07,N36,24,0.019591836734693877
N08,N17,24,0.019591836734693877
N08,N45,24,0.019591836734693877
N10,N22,24,0.019591836734693877
N11,N26,24,0.019591836734693877
N12,N40,24,0.019591836734693877
N13,N37,24,0.019591836734693877
N13,N45,24,0.019591836734693877
N14,N26,24,0.019591836734693877
N14,N40,24,0.019591836734693877
N15,N19,24,0.019591836734693877
N15,N21,24,0.019591836734693877
N16,N19,24,0.019591836734693877
N16,N24,24,0.019591836734693877
N16,N36,24,0.019591836734693877
N17,N18,24,0.019591836734693877
N17,N27,24,0.019591836734693877
