w1,w2,w3,support,count
N01,N03,N27,0.006530612244897959,8
N03,N08,N27,0.006530612244897959,8
N03,N20,N44,0.006530612244897959,8
N33,N37,N40,0.006530612244897959,8
N02,N25,N28,0.005714285714285714,7
N03,N12,N13,0.005714285714285714,7
N03,N20,N24,0.005714285714285714,7
N03,N32,N45,0.005714285714285714,7
N06,N11,N17,0.005714285714285714,7
N06,N18,N38,0.005714285714285714,7
N06,N37,N38,0.005714285714285714,7
N08,N18,N45,0.005714285714285714,7
N08,N19,N21,0.005714285714285714,7
N12,N15,N24,0.005714285714285714,7
N12,N15,N34,0.005714285714285714,7
N12,N33,N40,0.005714285714285714,7
N12,N34,N42,0.005714285714285714,7
N14,N30,N38,0.005714285714285714,7
N15,N19,N21,0.005714285714285714,7
N15,N28,N34,0.005714285714285714,7
N17,N26,N36,0.005714285714285714,7
N18,N31,N34,0.005714285714285714,7
N19,N21,N45,0.005714285714285714,7
N21,N26,N36,0.005714285714285714,7
N23,N35,N43,0.005714285714285714,7
N24,N27,N35,0.005714285714285714,7
N30,N39,N41,0.005714285714285714,7
N01,N02,N38,0.004897959183673469,6
N01,N09,N12,0.004897959183673469,6
N01,N09,N28,0.004897959183673469,6
N01,N12,N23,0.004897959183673469,6
N01,N28,N41,0.004897959183673469,6
N02,N03,N27,0.004897959183673469,6
N02,N26,N43,0.004897959183673469,6
N03,N08,N42,0.004897959183673469,6
N03,N13,N24,0.004897959183673469,6
N03,N13,N33,0.004897959183673469,6
N03,N15,N22,0.004897959183673469,6
N03,N23,N24,0.004897959183673469,6
N03,N24,N33,0.004897959183673469,6
N03,N33,N36,0.004897959183673469,6
N03,N33,N37,0.004897959183673469,6
N04,N09,N33,0.004897959183673469,6
N04,N12,N24,0.004897959183673469,6
N04,N26,N33,0.004897959183673469,6
N04,N28,N40,0.004897959183673469,6
N04,N33,N40,0.004897959183673469,6
N05,N06,N11,0.004897959183673469,6
N05,N07,N20,0.004897959183673469,6
N05,N12,N26,0.004897959183673469,6
N06,N07,N15,0.004897959183673469,6
N06,N07,N38,0.004897959183673469,6
N06,N13,N28,0.004897959183673469,6
N06,N14,N21,0.004897959183673469,6
N06,N18,N31,0.004897959183673469,6
N06,N19,N21,0.004897959183673469,6
N06,N31,N38,0.004897959183673469,6
N07,N15,N43,0.004897959183673469,6
N07,N18,N23,0.004897959183673469,6
N07,N19,N26,0.004897959183673469,6
N07,N20,N25,0.004897959183673469,6
N07,N22,N40,0.004897959183673469,6
N07,N42,N45,0.004897959183673469,6
N08,N17,N27,0.004897959183673469,6
N08,N19,N25,0.004897959183673469,6
N08,N21,N31,0.004897959183673469,6
N10,N11,N39,0.004897959183673469,6
N10,N16,N41,0.004897959183673469,6
N11,N14,N21,0.004897959183673469,6
N11,N16,N21,0.004897959183673469,6
N11,N17,N21,0.004897959183673469,6
N11,N19,N21,0.004897959183673469,6
N11,N26,N44,0.004897959183673469,6
N11,N29,N44,0.004897959183673469,6
N12,N13,N32,0.004897959183673469,6
N12,N13,N33,0.004897959183673469,6
N12,N24,N27,0.004897959183673469,6
N12,N33,N42,0.004897959183673469,6
N13,N18,N45,0.004897959183673469,6
N13,N29,N39,0.004897959183673469,6
N13,N33,N37,0.004897959183673469,6
N13,N33,N43,0.004897959183673469,6
N13,N33,N45,0.004897959183673469,6
N14,N27,N30,0.004897959183673469,6
N14,N31,N37,0.004897959183673469,6
N14,N31,N40,0.004897959183673469,6
N14,N35,N39,0.004897959183673469,6
N15,N21,N34,0.004897959183673469,6
N16,N24,N44,0.004897959183673469,6
N16,N25,N31,0.004897959183673469,6
N16,N25,N36,0.004897959183673469,6
N16,N27,N35,0.004897959183673469,6
N16,N31,N36,0.004897959183673469,6
N16,N37,N38,0.004897959183673469,6
N17,N20,N35,0.004897959183673469,6
N17,N30,N31,0.004897959183673469,6
N17,N34,N45,0.004897959183673469,6
N18,N30,N34,0.004897959183673469,6
N18,N30,N41,0.004897959183673469,6
N18,N31,N38,0.004897959183673469,6
N19,N21,N34,0.004897959183673469,6
N19,N23,N45,0.004897959183673469,6
N19,N25,N28,0.004897959183673469,6
N20,N26,N35,0.004897959183673469,6
N21,N30,N35,0.004897959183673469,6
