w1,w2,w3,count,support
N01,N03,N27,8,0.006530612244897959
N03,N08,N27,8,0.006530612244897959
N03,N20,N44,8,0.006530612244897959
N33,N37,N40,8,0.006530612244897959
N02,N25,N28,7,0.005714285714285714
N03,N12,N13,7,0.005714285714285714
N03,N20,N24,7,0.005714285714285714
N03,N32,N45,7,0.005714285714285714
N06,N11,N17,7,0.005714285714285714
N06,N18,N38,7,0.005714285714285714
N06,N37,N38,7,0.005714285714285714
N08,N18,N45,7,0.005714285714285714
N08,N19,N21,7,0.005714285714285714
N12,N15,N24,7,0.005714285714285714
N12,N15,N34,7,0.005714285714285714
N12,N33,N40,7,0.005714285714285714
N12,N34,N42,7,0.005714285714285714
N14,N30,N38,7,0.005714285714285714
N15,N19,N21,7,0.005714285714285714
N15,N28,N34,7,0.005714285714285714
N17,N26,N36,7,0.005714285714285714
N18,N31,N34,7,0.005714285714285714
N19,N21,N45,7,0.005714285714285714
N21,N26,N36,7,0.005714285714285714
N23,N35,N43,7,0.005714285714285714
N24,N27,N35,7,0.005714285714285714
N30,N39,N41,7,0.005714285714285714
N01,N02,N38,6,0.004897959183673469
N01,N09,N12,6,0.004897959183673469
N01,N09,N28,6,0.004897959183673469
N01,N12,N23,6,0.004897959183673469
N01,N28,N41,6,0.004897959183673469
N02,N03,N27,6,0.004897959183673469
N02,N26,N43,6,0.004897959183673469
N03,N08,N42,6,0.004897959183673469
N03,N13,N24,6,0.004897959183673469
N03,N13,N33,6,0.004897959183673469
N03,N15,N22,6,0.004897959183673469
N03,N23,N24,6,0.004897959183673469
N03,N24,N33,6,0.004897959183673469
N03,N33,N36,6,0.004897959183673469
N03,N33,N37,6,0.004897959183673469
N04,N09,N33,6,0.004897959183673469
N04,N12,N24,6,0.004897959183673469
N04,N26,N33,6,0.004897959183673469
N04,N28,N40,6,0.004897959183673469
N04,N33,N40,6,0.004897959183673469
N05,N06,N11,6,0.004897959183673469
N05,N07,N20,6,0.004897959183673469
N05,N12,N26,6,0.004897959183673469
N06,N07,N15,6,0.004897959183673469
N06,N07,N38,6,0.004897959183673469
N06,N13,N28,6,0.004897959183673469
N06,N14,N21,6,0.004897959183673469
N06,N18,N31,6,0.004897959183673469
N06,N19,N21,6,0.004897959183673469
N06,N31,N38,6,0.004897959183673469
N07,N15,N43,6,0.004897959183673469
N07,N18,N23,6,0.004897959183673469
N07,N19,N26,6,0.004897959183673469
N07,N20,N25,6,0.004897959183673469
N07,N22,N40,6,0.004897959183673469
N07,N42,N45,6,0.004897959183673469
N08,N17,N27,6,0.004897959183673469
N08,N19,N25,6,0.004897959183673469
N08,N21,N31,6,0.004897959183673469
N10,N11,N39,6,0.004897959183673469
N10,N16,N41,6,0.004897959183673469
N11,N14,N21,6,0.004897959183673469
N11,N16,N21,6,0.004897959183673469
N11,N17,N21,6,0.004897959183673469
N11,N19,N21,6,0.004897959183673469
N11,N26,N44,6,0.004897959183673469
N11,N29,N44,6,0.004897959183673469
N12,N13,N32,6,0.004897959183673469
N12,N13,N33,6,0.004897959183673469
N12,N24,N27,6,0.004897959183673469
N12,N33,N42,6,0.004897959183673469
N13,N18,N45,6,0.004897959183673469
N13,N29,N39,6,0.004897959183673469
N13,N33,N37,6,0.004897959183673469
N13,N33,N43,6,0.004897959183673469
N13,N33,N45,6,0.004897959183673469
N14,N27,N30,6,0.004897959183673469
N14,N31,N37,6,0.004897959183673469
N14,N31,N40,6,0.004897959183673469
N14,N35,N39,6,0.004897959183673469
N15,N21,N34,6,0.004897959183673469
N16,N24,N44,6,0.004897959183673469
N16,N25,N31,6,0.004897959183673469
N16,N25,N36,6,0.004897959183673469
N16,N27,N35,6,0.004897959183673469
N16,N31,N36,6,0.004897959183673469
N16,N37,N38,6,0.004897959183673469
N17,N20,N35,6,0.004897959183673469
N17,N30,N31,6,0.004897959183673469
N17,N34,N45,6,0.004897959183673469
N18,N30,N34,6,0.004897959183673469
N18,N30,N41,6,0.004897959183673469
N18,N31,N38,6,0.004897959183673469
N19,N21,N34,6,0.004897959183673469
N19,N23,N45,6,0.004897959183673469
N19,N25,N28,6,0.004897959183673469
N20,N26,N35,6,0.004897959183673469
N21,N30,N35,6,0.004897959183673469
N21,N34,N44,6,0.004897959183673469
N23,N29,N44,6,0.004897959183673469
N23,N30,N34,6,0.004897959183673469
N26,N27,N42,6,0.004897959183673469
N27,N29,N40,6,0.004897959183673469
N27,N38,N40,6,0.004897959183673469
N28,N42,N45,6,0.004897959183673469
N30,N39,N43,6,0.004897959183673469
N32,N33,N40,6,0.004897959183673469
N32,N40,N41,6,0.004897959183673469
N34,N42,N45,6,0.004897959183673469
N35,N43,N45,6,0.004897959183673469
N01,N02,N16,5,0.004081632653061225
N01,N02,N19,5,0.004081632653061225
N01,N03,N24,5,0.004081632653061225
N01,N03,N42,5,0.004081632653061225
N01,N03,N45,5,0.004081632653061225
N01,N04,N29,5,0.004081632653061225
N01,N04,N45,5,0.004081632653061225
N01,N05,N34,5,0.004081632653061225
N01,N06,N28,5,0.004081632653061225
N01,N07,N42,5,0.004081632653061225
N01,N09,N17,5,0.004081632653061225
N01,N10,N13,5,0.004081632653061225
N01,N10,N35,5,0.004081632653061225
N01,N15,N42,5,0.004081632653061225
N01,N19,N42,5,0.004081632653061225
N01,N21,N29,5,0.004081632653061225
N01,N26,N28,5,0.004081632653061225
N01,N27,N35,5,0.004081632653061225
N01,N28,N34,5,0.004081632653061225
N01,N28,N45,5,0.004081632653061225
N01,N29,N37,5,0.004081632653061225
N02,N03,N20,5,0.004081632653061225
N02,N04,N20,5,0.004081632653061225
N02,N05,N32,5,0.004081632653061225
N02,N08,N33,5,0.004081632653061225
N02,N11,N39,5,0.004081632653061225
N02,N13,N28,5,0.004081632653061225
N02,N14,N22,5,0.004081632653061225
N02,N15,N22,5,0.004081632653061225
N02,N15,N23,5,0.004081632653061225
N02,N15,N34,5,0.004081632653061225
N02,N17,N24,5,0.004081632653061225
N02,N19,N42,5,0.004081632653061225
N02,N20,N33,5,0.004081632653061225
N02,N20,N34,5,0.004081632653061225
N02,N25,N36,5,0.004081632653061225
N02,N25,N45,5,0.004081632653061225
N02,N34,N45,5,0.004081632653061225
N03,N04,N20,5,0.004081632653061225
N03,N05,N20,5,0.004081632653061225
N03,N10,N31,5,0.004081632653061225
N03,N10,N36,5,0.004081632653061225
N03,N12,N43,5,0.004081632653061225
N03,N13,N37,5,0.004081632653061225
N03,N16,N44,5,0.004081632653061225
N03,N18,N32,5,0.004081632653061225
N03,N20,N27,5,0.004081632653061225
N03,N20,N35,5,0.004081632653061225
N03,N24,N27,5,0.004081632653061225
N03,N30,N33,5,0.004081632653061225
N03,N30,N34,5,0.004081632653061225
N03,N33,N45,5,0.004081632653061225
N04,N08,N19,5,0.004081632653061225
N04,N08,N27,5,0.004081632653061225
N04,N10,N19,5,0.004081632653061225
N04,N10,N32,5,0.004081632653061225
N04,N11,N20,5,0.004081632653061225
N04,N12,N33,5,0.004081632653061225
N04,N16,N20,5,0.004081632653061225
N04,N16,N40,5,0.004081632653061225
N04,N19,N20,5,0.004081632653061225
N04,N20,N32,5,0.004081632653061225
N04,N23,N29,5,0.004081632653061225
N04,N25,N37,5,0.004081632653061225
N04,N37,N45,5,0.004081632653061225
N04,N42,N45,5,0.004081632653061225
N05,N11,N27,5,0.004081632653061225
N05,N11,N29,5,0.004081632653061225
N05,N11,N33,5,0.004081632653061225
N05,N13,N20,5,0.004081632653061225
N05,N14,N20,5,0.004081632653061225
N05,N14,N32,5,0.004081632653061225
N05,N18,N20,5,0.004081632653061225
N05,N18,N23,5,0.004081632653061225
N05,N18,N42,5,0.004081632653061225
N05,N18,N45,5,0.004081632653061225
N05,N27,N35,5,0.004081632653061225
N05,N29,N34,5,0.004081632653061225
N05,N30,N43,5,0.004081632653061225
N05,N31,N32,5,0.004081632653061225
N05,N34,N44,5,0.004081632653061225
N05,N37,N40,5,0.004081632653061225
N05,N39,N43,5,0.004081632653061225
N06,N07,N19,5,0.004081632653061225
N06,N07,N28,5,0.004081632653061225
N06,N10,N34,5,0.004081632653061225
N06,N10,N38,5,0.004081632653061225
N06,N12,N17,5,0.004081632653061225
N06,N12,N34,5,0.004081632653061225
N06,N13,N16,5,0.004081632653061225
N06,N13,N40,5,0.004081632653061225
N06,N14,N41,5,0.004081632653061225
N06,N17,N18,5,0.004081632653061225
N06,N17,N28,5,0.004081632653061225
N06,N18,N35,5,0.004081632653061225
N06,N19,N34,5,0.004081632653061225
N06,N19,N41,5,0.004081632653061225
N06,N22,N32,5,0.004081632653061225
N06,N22,N35,5,0.004081632653061225
N06,N28,N30,5,0.004081632653061225
N06,N28,N38,5,0.004081632653061225
N06,N30,N38,5,0.004081632653061225
N06,N31,N32,5,0.004081632653061225
N06,N36,N38,5,0.004081632653061225
N06,N38,N39,5,0.004081632653061225
N07,N09,N24,5,0.004081632653061225
N07,N09,N27,5,0.004081632653061225
N07,N09,N35,5,0.004081632653061225
N07,N10,N38,5,0.004081632653061225
N07,N11,N33,5,0.004081632653061225
N07,N12,N15,5,0.004081632653061225
N07,N12,N23,5,0.004081632653061225
N07,N13,N18,5,0.004081632653061225
N07,N19,N23,5,0.004081632653061225
N07,N19,N45,5,0.004081632653061225
N07,N20,N22,5,0.004081632653061225
N07,N22,N34,5,0.004081632653061225
N07,N24,N27,5,0.004081632653061225
N07,N24,N34,5,0.004081632653061225
N07,N24,N36,5,0.004081632653061225
N07,N29,N38,5,0.004081632653061225
N07,N29,N44,5,0.004081632653061225
N07,N33,N40,5,0.004081632653061225
N07,N37,N42,5,0.004081632653061225
N08,N13,N28,5,0.004081632653061225
N08,N13,N36,5,0.004081632653061225
N08,N14,N39,5,0.004081632653061225
N08,N17,N39,5,0.004081632653061225
N08,N18,N39,5,0.004081632653061225
N08,N19,N39,5,0.004081632653061225
N08,N20,N33,5,0.004081632653061225
N08,N21,N39,5,0.004081632653061225
N08,N27,N40,5,0.004081632653061225
N08,N30,N43,5,0.004081632653061225
N08,N31,N36,5,0.004081632653061225
N08,N31,N44,5,0.004081632653061225
N08,N34,N39,5,0.004081632653061225
N08,N36,N39,5,0.004081632653061225
N08,N38,N39,5,0.004081632653061225
N09,N12,N39,5,0.004081632653061225
N09,N16,N28,5,0.004081632653061225
N09,N30,N33,5,0.004081632653061225
N09,N33,N36,5,0.004081632653061225
N09,N39,N43,5,0.004081632653061225
N10,N14,N15,5,0.004081632653061225
N10,N14,N18,5,0.004081632653061225
N10,N14,N36,5,0.004081632653061225
N10,N16,N38,5,0.004081632653061225
N10,N19,N40,5,0.004081632653061225
N10,N20,N41,5,0.004081632653061225
N10,N20,N44,5,0.004081632653061225
N10,N22,N31,5,0.004081632653061225
N10,N29,N31,5,0.004081632653061225
N10,N30,N37,5,0.004081632653061225
N10,N35,N43,5,0.004081632653061225
N10,N40,N43,5,0.004081632653061225
N11,N16,N19,5,0.004081632653061225
N11,N16,N44,5,0.004081632653061225
N11,N18,N21,5,0.004081632653061225
N11,N21,N30,5,0.004081632653061225
N11,N21,N36,5,0.004081632653061225
N11,N21,N45,5,0.004081632653061225
N11,N24,N39,5,0.004081632653061225
N11,N26,N27,5,0.004081632653061225
N11,N26,N28,5,0.004081632653061225
N11,N29,N33,5,0.004081632653061225
N11,N39,N44,5,0.004081632653061225
N12,N14,N39,5,0.004081632653061225
N12,N15,N40,5,0.004081632653061225
N12,N18,N31,5,0.004081632653061225
N12,N20,N26,5,0.004081632653061225
N12,N22,N33,5,0.004081632653061225
N12,N23,N34,5,0.004081632653061225
N12,N29,N33,5,0.004081632653061225
N12,N30,N34,5,0.004081632653061225
N12,N30,N39,5,0.004081632653061225
N12,N30,N43,5,0.004081632653061225
N12,N31,N38,5,0.004081632653061225
N12,N34,N36,5,0.004081632653061225
N12,N37,N40,5,0.004081632653061225
N12,N39,N43,5,0.004081632653061225
N13,N14,N26,5,0.004081632653061225
N13,N18,N31,5,0.004081632653061225
N13,N23,N35,5,0.004081632653061225
N13,N25,N33,5,0.004081632653061225
N13,N26,N34,5,0.004081632653061225
N13,N28,N36,5,0.004081632653061225
N13,N32,N42,5,0.004081632653061225
N13,N37,N38,5,0.004081632653061225
N14,N15,N19,5,0.004081632653061225
N14,N17,N45,5,0.004081632653061225
N14,N18,N21,5,0.004081632653061225
N14,N18,N26,5,0.004081632653061225
N14,N18,N44,5,0.004081632653061225
N14,N19,N43,5,0.004081632653061225
N14,N22,N44,5,0.004081632653061225
N14,N23,N31,5,0.004081632653061225
N14,N26,N36,5,0.004081632653061225
N14,N30,N31,5,0.004081632653061225
N14,N32,N42,5,0.004081632653061225
N14,N33,N40,5,0.004081632653061225
N15,N17,N19,5,0.004081632653061225
N15,N17,N25,5,0.004081632653061225
N15,N19,N34,5,0.004081632653061225
N15,N19,N43,5,0.004081632653061225
N15,N19,N44,5,0.004081632653061225
N15,N21,N41,5,0.004081632653061225
N15,N24,N30,5,0.004081632653061225
N15,N24,N41,5,0.004081632653061225
N15,N25,N43,5,0.004081632653061225
N15,N26,N42,5,0.004081632653061225
N15,N34,N42,5,0.004081632653061225
N16,N17,N36,5,0.004081632653061225
N16,N19,N33,5,0.004081632653061225
