symbol,revenue,operating_income,net_income,liabilities,equity,revenue_growth,operating_margin,roe,per,pbr,debt_ratio,market_cap,shares_outstanding,latest_price
005930.KS,333605938000000.0,43601051000000.0,45206805000000.0,130621773000000.0,436320337000000.0,0.0,0.1306962677624761,0.1036092090293742,43.08114400781033,4.463603254729793,0.2993712690499687,1947560876338000.0,5919637922.0,329000.0
000660.KS,97146675000000.0,0.0,42947902000000.0,55440908000000.0,120666751000000.0,0.0,0.0,0.3559215910271753,35.08820746470922,12.488650627130916,0.4594547175634156,1506964895550000.0,728002365.0,2070000.0
035420.KS,12035007218975.0,2208138388720.0,1818746310015.0,12131482961723.0,28953013365595.0,0.0,0.1834762828591027,0.062817168183821,22.03487577586864,1.384168497522345,0.4190058840693555,40075849009000.0,156852638.0,255500.0
035720.KS,8099147815086.0,732036535379.0,517959587282.0,12558602529761.0,15224922016050.0,0.0,0.0903843900731705,0.0340205083964286,34.3857571948045,1.1698209413634024,0.8248713863047583,17810432605000.0,442495220.0,40250.0
005380.KS,186254472000000.0,11467851000000.0,10364775000000.0,241196612000000.0,127648237000000.0,0.0,0.0615708760002283,0.0811979487033573,13.828610481173012,1.1228548044889959,1.8895412711418804,143330436200000.0,204757766.0,700000.0
051910.KS,45932167000000.0,0.0,-977063000000.0,53956116000000.0,47105545000000.0,0.0,0.0,-0.0207419954487311,0.0,0.5230112019083953,1.1454302460570194,24636727707000.0,70592343.0,349000.0
373220.KS,23671759000000.0,1346120000000.0,80803000000.0,37826277000000.0,29321676000000.0,0.0,0.0568660740420684,0.0027557428845472,1198.9158818360704,3.303903910540448,1.290044846004028,96876000000000.0,234000000.0,414000.0
207940.KS,4556971695180.0,2069221266630.0,1784352060593.0,3609631328852.0,7451110647985.0,0.0,0.4540781477354043,0.2394746427602093,34.76324863793157,8.324916548752999,0.4844420515790019,62029874340000.0,46290951.0,1340000.0
000270.KS,114140919000000.0,9078148000000.0,7554174000000.0,37788591000000.0,61190464000000.0,0.0,0.079534562009265,0.1234534518319717,8.325931329858168,1.0278649623869498,0.6175568631086046,62895533977800.0,390412998.0,161100.0
068270.KS,4162495108881.0,1168471345595.0,1031483789240.0,4982370370686.0,17352529819114.0,0.0,0.2807141666309655,0.0594428478148361,38.378412244139675,2.2813221184034393,0.2871264549102151,39586710086600.0,230960969.0,171400.0
005490.KS,69094886192787.0,1827063210829.0,504403472266.0,42814746926182.0,62377691037383.0,0.0,0.0264428138101446,0.0080862799484468,62.57659396792302,0.506011857044913,0.6863791559793884,31563851280000.0,80932952.0,390000.0
006400.KS,13266730679499.0,0.0,-584875358534.0,18685225421089.0,23570113159830.0,0.0,0.0,-0.0248142787676891,0.0,1.9419754470253945,0.7927507727427375,45772581040000.0,80585530.0,568000.0
012330.KS,61118127000000.0,0.0,3664736000000.0,21187737000000.0,49212795000000.0,0.0,0.0,0.0744671380684637,17.256525531716335,1.2850440693522893,0.4305330961186008,63240610351000.0,90732583.0,697000.0
