symbol,company_name,sector,market,code,security_type,share_type,listing_status
477850.KQ,마키나락스,소프트웨어 개발 및 공급업,KOSDAQ,477850,STOCK,UNKNOWN,LISTED
288180.KQ,케이피항공산업,"항공기,우주선 및 부품 제조업",KOSDAQ,288180,STOCK,UNKNOWN,LISTED
487580.KQ,폴레드,가정용 기기 제조업,KOSDAQ,487580,STOCK,UNKNOWN,LISTED
439960.KQ,코스모로보틱스,의료용 기기 제조업,KOSDAQ,439960,STOCK,UNKNOWN,LISTED
0129K0.KQ,신한제18호스팩,금융 지원 서비스업,KOSDAQ,0129K0,STOCK,UNKNOWN,LISTED
0011T0.KQ,채비,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KOSDAQ,0011T0,STOCK,UNKNOWN,LISTED
0131D0.KQ,키움히어로제2호스팩,금융 지원 서비스업,KOSDAQ,0131D0,STOCK,UNKNOWN,LISTED
0010F0.KQ,보원케미칼,플라스틱제품 제조업,KOSDAQ,0010F0,STOCK,UNKNOWN,LISTED
0132G0.KQ,교보20호스팩,기타 금융업,KOSDAQ,0132G0,STOCK,UNKNOWN,LISTED
0007J0.KQ,인벤테라,자연과학 및 공학 연구개발업,KOSDAQ,0007J0,STOCK,UNKNOWN,LISTED
0130D0.KQ,신한제17호스팩,금융 지원 서비스업,KOSDAQ,0130D0,STOCK,UNKNOWN,LISTED
394420.KQ,리센스메디컬,의료용 기기 제조업,KOSDAQ,394420,STOCK,UNKNOWN,LISTED
0130H0.KQ,엔에이치스팩33호,금융 지원 서비스업,KOSDAQ,0130H0,STOCK,UNKNOWN,LISTED
0088M0.KQ,메쥬,의료용 기기 제조업,KOSDAQ,0088M0,STOCK,UNKNOWN,LISTED
408470.KQ,한패스,기타 금융업,KOSDAQ,408470,STOCK,UNKNOWN,LISTED
493280.KQ,아이엠바이오로직스,자연과학 및 공학 연구개발업,KOSDAQ,493280,STOCK,UNKNOWN,LISTED
