code,company_name,market,sector
005930,Samsung Electronics,KOSPI,Semiconductors
000660,SK hynix,KOSPI,Semiconductors
373220,LG Energy Solution,KOSPI,Battery
207940,Samsung Biologics,KOSPI,Biotech
005380,Hyundai Motor,KOSPI,Autos
000270,Kia,KOSPI,Autos
068270,Celltrion,KOSPI,Biotech
005490,POSCO Holdings,KOSPI,Steel
035420,NAVER,KOSPI,Internet
035720,Kakao,KOSPI,Internet
051910,LG Chem,KOSPI,Chemicals
006400,Samsung SDI,KOSPI,Battery
012330,Hyundai Mobis,KOSPI,Autos
028260,Samsung C&T,KOSPI,Holding
105560,KB Financial,KOSPI,Financials
055550,Shinhan Financial,KOSPI,Financials
086790,Hana Financial,KOSPI,Financials
316140,Woori Financial,KOSPI,Financials
032830,Samsung Life,KOSPI,Insurance
138040,Meritz Financial,KOSPI,Financials
066570,LG Electronics,KOSPI,Electronics
015760,Korea Electric Power,KOSPI,Utilities
003550,LG Corp,KOSPI,Holding
034730,SK Inc,KOSPI,Holding
096770,SK Innovation,KOSPI,Energy
009150,Samsung Electro-Mechanics,KOSPI,Electronics
011200,HMM,KOSPI,Shipping
010130,Korea Zinc,KOSPI,Materials
017670,SK Telecom,KOSPI,Telecom
030200,KT,KOSPI,Telecom
003670,POSCO Future M,KOSPI,Battery Materials
352820,HYBE,KOSPI,Entertainment
259960,Krafton,KOSPI,Gaming
018260,Samsung SDS,KOSPI,IT Services
036570,NCSoft,KOSPI,Gaming
