date,000660.KS,005380.KS
2026-01-01,100000,200000
2026-01-02,101000,201000
2026-01-05,102000,202000
2026-01-06,103000,203000
2026-01-07,104000,204000
2026-01-08,105000,205000
2026-01-09,106000,206000
2026-01-12,107000,207000
2026-01-13,108000,208000
2026-01-14,109000,209000
2026-01-15,110000,210000
2026-01-16,111000,211000
2026-01-19,112000,212000
2026-01-20,113000,213000
2026-01-21,114000,214000
2026-01-22,115000,215000
2026-01-23,116000,216000
2026-01-26,117000,217000
2026-01-27,118000,218000
2026-01-28,119000,219000
2026-01-29,118000,218000
2026-01-30,117000,217000
2026-02-02,116000,216000
2026-02-03,115000,215000
2026-02-04,114000,214000
2026-02-05,113000,213000
2026-02-06,112000,212000
2026-02-09,111000,211000
2026-02-10,112000,212000
2026-02-11,113000,213000
2026-02-12,114000,214000
2026-02-13,115000,215000
