term,score
여행,4.574228244027314
용으로,4.3083036202961065
여행 용으로,3.858904003729819
좋은,2.152417919378789
써보고,1.973423602465455
자극,1.973239083115439
저렴하게,1.958319159755778
있어서,1.8988914107531043
배송,1.8243515367162377
작아서,1.8099753215738663
아직,1.7902133475229256
클렌징밀크,1.6597097728938843
생각보다,1.5362558229211531
만족합니다,1.5151924782177706
믿고,1.4898394023919739
체험,1.473635731301729
없음,1.4643193476382212
촉촉,1.4616229759543513
자극 없음,1.430376724281078
샀어요,1.422662190057713
피부에,1.2225066089244807
쓰기,1.2133359891575093
여행갈때,1.192297340955785
처음,1.181294455395022
싶어서,1.1734893497537406
크기가,1.1398786499295772
구매했습니다,1.108278632823986
세정력이,1.0999684175181708
자극이,1.0868787425202395
부드럽게,1.0680914992179114
순하고,1.0074003939315055
없이,0.9591539300214087
휴대 용으로,0.94389380324951
휴대,0.94389380324951
이중,0.9258179086263466
주문했어요,0.9155566291876652
순한,0.905181185604599
같아서,0.887834263741251
지워지고,0.8861690099480077
본품,0.8783541499997858
선크림,0.8725116512871909
좋으면,0.8686482808944063
좋았으면,0.8669578769818782
빠른,0.8647203014823814
피부가,0.8626101387710111
밀크는,0.8610838671235184
가격에,0.854556927445127
쓰고,0.8342253930958017
없어서,0.8303564506007998
클렌징이,0.8016080253381626
리얼베리어라,0.7953410255753751
싶어서 주문했어요,0.7917149459932706
부드럽고,0.7783777243761071
자극 없이,0.7702142719412427
클렌징밀크로,0.7690011849498968
브랜드,0.7667470540531441
마침,0.7663103874791066
구매해봤어요,0.7574646766578836
딜로,0.7510043697823994
체험 딜로,0.7510043697823994
클렌징밀크는,0.743626648423735
클렌징밀크를,0.7422707710201156
제품은,0.7404218155695586
좋을,0.7354098467169293
잘샀어요,0.7325805133011887
촉촉해요,0.7310497372145843
크기도,0.7296235516477882
좋겠어요,0.7276579377765051
않고,0.7263172465220735
빠른 배송,0.7231176183990082
번창하세요,0.7228962776456944
없고,0.7172192174730371
클렌징밀크도,0.7155892226268066
평소,0.7128716017302641
사봤어요,0.7125162631298091
구매했는데,0.7085029821805675
마음에,0.7023792764011695
사이즈가,0.702120619936169
무난하게,0.6865910326825425
싶었는데,0.6854815864507717
사용하는데,0.6843020853043922
선크림도,0.679250363820462
쓰겠습니다,0.675215027040744
피부,0.6740721624692878
들어요,0.6654226795534017
써보고 싶어서,0.6653075422961404
써보고 싶어서 주문했어요,0.6653075422961404
클렌징밀크는 처음,0.6582915348865312
항상,0.653451372247412
빠른배송,0.6524286311282297
사용해보고,0.6420263275919352
