aspect,sentiment,review_count,avg_rating
가격/딜,긍정,36,4.972222222222222
가격/딜,중립,5,4.8
가격/딜,부정/주의,3,5.0
기타,긍정,9,4.888888888888889
기타,중립,2,5.0
배송,긍정,20,4.8
배송,중립,5,4.0
배송,부정/주의,2,4.0
보습/당김,긍정,34,4.882352941176471
보습/당김,중립,7,5.0
보습/당김,부정/주의,6,5.0
사용감/제형,긍정,31,4.903225806451613
사용감/제형,부정/주의,11,4.454545454545454
사용감/제형,중립,8,4.875
세정력,긍정,36,4.944444444444445
세정력,부정/주의,10,4.6
세정력,중립,10,4.9
여행/휴대,긍정,70,4.928571428571429
여행/휴대,중립,21,4.714285714285714
여행/휴대,부정/주의,13,4.769230769230769
자극/민감,긍정,43,4.930232558139535
자극/민감,중립,11,5.0
자극/민감,부정/주의,9,4.555555555555555
재구매/본품,긍정,38,5.0
재구매/본품,중립,7,4.714285714285714
재구매/본품,부정/주의,3,5.0
향,긍정,5,4.6
향,부정/주의,1,5.0
향,중립,1,4.0
