term,score
여행용으로,4.214399395309319
클렌징,2.9326192202409733
리얼베리어,2.3892519789787694
저렴하게,2.0496552808514235
자극,2.0054716327011324
밀크,1.9942889057925612
있어서,1.9219109909183498
작아서,1.919309064538643
배송,1.9068720651587023
클렌징밀크,1.6982407213116184
생각보다,1.5596483126994625
믿고,1.5340851915994915
만족합니다,1.5137885020617996
체험,1.509473363206159
촉촉,1.4661498801739026
없음,1.455230017036708
자극 없음,1.4217371484717045
쓰기,1.2607685702204372
피부에,1.2200235418857162
여행갈때,1.2192818949074877
싶어서,1.2133359686535696
처음,1.1752616297579903
크기가,1.1536899550863613
세정력이,1.1378300958303276
구매했습니다,1.1256279044461246
자극이,1.0918504397830282
좋으면,1.0751369987726136
휴대용으로,1.0613907995302148
부드럽게,1.0495602231657564
순하고,0.9844248863370255
없이,0.9765393692065845
클렌징 밀크,0.9750176299726094
주문했어요,0.9402284458623724
순한,0.9349273524852734
이중,0.9272260946781474
빠른,0.9055693153947895
좋았으면,0.9017175713455574
여행,0.8916132657389111
본품,0.8845154053353522
같아서,0.8825337401646696
가격에,0.8721094839508172
선크림,0.8556532421810502
지워지고,0.8529922334224918
피부가,0.845100142370397
쓰고,0.8307802338739668
크기도,0.8264354093860651
싶어서 주문했어요,0.8211917330257845
밀크는,0.8163938822978867
잘샀어요,0.8140653339400947
없어서,0.8140613006713242
부드럽고,0.8120235342161585
리얼베리어라,0.8078812834035549
자극 없이,0.7928847148636239
클렌징밀크로,0.7896314088892664
클렌징이,0.7860255152600236
클렌징밀크를,0.7825497090597311
브랜드,0.7720378177588438
좋을,0.7694543710307473
마침,0.7694037761147289
좋겠어요,0.7662420688505354
빠른 배송,0.7656174315577023
체험 딜로,0.7476706301265716
딜로,0.7476706301265716
클렌징밀크는,0.7460847248844071
촉촉해요,0.7460448713831378
구매해봤어요,0.743696221962916
없고,0.738688489427559
구매했는데,0.7341085127714767
제품은,0.7335083281876924
않고,0.733327654425678
번창하세요,0.7228962776456944
평소,0.7195575459991187
빠른배송,0.7142812823453308
사용하는데,0.7132714009024956
무난하게,0.7080804256463993
마음에,0.7047944040894978
클렌징밀크도,0.7012250417386693
빨라서,0.6942614134327174
사이즈가,0.6930388809073228
작고,0.6908778809605234
피부,0.6695708055629939
말안해도,0.6668289301822897
들어요,0.6667585165208904
여행용으로 대만족입니다,0.6666212772069992
대만족입니다,0.6666212772069992
사이즈네요,0.6630058805949746
쓰겠습니다,0.6578797602041744
사용해보고,0.6576354039107676
싶었는데,0.656200062876795
클렌징밀크는 처음,0.6548478189519362
빠르네요,0.6541702872822781
선크림도,0.6540710078563157
항상,0.6457719266132507
클렌징 밀크는,0.6451619694865749
잘쓸게요,0.6396119035695842
사려고,0.6388900911013069
좋았으면 좋겠어요,0.6378409269477374
세안,0.6364650492702767
써보진,0.6288350753452192
선크림만,0.6215786468846909
