term,score
좋다,15.6017422257988
여행,8.641408961390887
같다,7.122972749848905
밀크,6.969764298364929
리얼,5.6986696304417
배송,5.485081438699433
촉촉하다,5.425875559744412
리얼 베리,5.422875513113348
베리,5.422875513113348
자극,5.367598683115819
피부,5.258252897899975
클렌징,5.200483908338249
없다,4.711433279846789
사이즈,4.452872471247653
작다,4.407139294806828
저렴하다,4.283423258934021
체험,4.232728692792398
순하다,3.9784950913360655
클렌징밀크,3.8966589478661833
빠르다,3.731518814255485
보고,3.6830678485393054
여행 좋다,3.642575767152825
세안,3.568470395936904
만족하다,3.351164505789413
좋다 같다,3.2097453633349655
부드럽다,3.199295269309893
클렌징 밀크,3.1847322524502903
괜찮다,3.1134712296800746
클렌,2.856848709152714
정력,2.7556766699317996
이다,2.7537150383938536
크기,2.730188021015292
자극 없다,2.6918578598909653
좋다 사이즈,2.651740963572258
선크림,2.6032524597160713
가격,2.546517820659452
클렌 밀크,2.502932514498776
휴대,2.390275576039509
용량,2.2371448469692727
느낌,2.213339570043476
배송 빠르다,2.2095039878999114
오일,2.1621213937042465
처음,2.0901345435990186
전이,2.074332518866842
빠르다 배송,2.01776227418481
메이크업,2.00049761746965
정력 좋다,1.9693220319700817
배송 좋다,1.9538135151429494
피부 자극,1.938394155698812
좋다 여행,1.899042499860502
쓰기,1.888346849709899
크림,1.8574641722846739
브랜드,1.8229969408333346
건조하다,1.8104459703354925
무난,1.779749335697259
기대,1.7360106840367753
괜찮다 같다,1.7246550893136243
쓰기 좋다,1.6840126140821892
저렴하다 가격,1.6817317342820892
한번,1.6056587974404497
촉촉하다 좋다,1.5412535540071675
밀크 좋다,1.5278614535684483
없다 좋다,1.5240031082347494
그렇다,1.5205625724315548
크기 작다,1.5111222072175385
기회,1.5105249512941648
딱이다,1.508605579799148
평소,1.4801232607564903
편하다,1.4759306388129914
클린,1.4673242167641136
좋다 체험,1.4577134319951737
딜로,1.4477855798418493
좋다 기회,1.4370605366913884
만족스럽다,1.4189012312489535
테스트,1.4080700961820531
작다 여행,1.3699691168864867
체험 좋다,1.3570328342860025
클렌징밀크 처음,1.3486525158591445
좋다 좋다,1.3479772298558172
저렴하다 좋다,1.3381030303713848
빨르다,1.3339817251753865
배송 빨르다,1.3339817251753865
부담,1.3305005592203925
만족,1.270577903819038
마음,1.2421806101864459
휴대 좋다,1.2385363355506556
샘플,1.2163233858987614
좋다 순하다,1.199640186816598
바로,1.180435434536796
좋다 저렴하다,1.176993094014895
여행 사이즈,1.1740645165133747
체험 딜로,1.169854302213925
부담 없다,1.1635601059953316
마침,1.1398155247430162
이중 세안,1.1332475796156707
이중,1.1332475796156707
클렌징오일,1.1331889602975203
가볍다,1.1110500523103826
편이,1.1057466494735437
궁금하다,1.1004088644398893
여행 리얼,1.0965582933694191
화장,1.09478252978642
항상,1.0572790657569016
작다 휴대,1.051240126904414
베리 크림,1.041751117156255
작고,1.0025934549479734
행사,0.9915862305558103
좋다 보고,0.9833884539906075
유통,0.9828527723932605
기한,0.9746921754019147
밀크 클렌징,0.955096735425753
베리 괜찮다,0.949715442510099
용감,0.9456549908484922
귀엽다,0.9431196066320591
썬크림,0.9380024520821161
클린 밀크,0.9350755947372762
진하다,0.931802269130088
롤링,0.9307978246174258
안해,0.9232231203178529
보고 괜찮다,0.9167412781990187
추천,0.9128878705521345
클렌징 오일,0.9120563638862895
얼굴,0.9113099411319608
여행 딱이다,0.9051688676381602
여행 체험,0.9029008884161757
사이즈 좋다,0.8982821848732171
번창,0.8976797503670881
밀크 리얼,0.8919031114189202
여행가,0.8869846679232823
베리 좋다,0.880663575802277
타입,0.8666923068449089
거품,0.8625205376885032
장벽,0.8585663735474228
전이 리얼,0.8460090584450896
리얼 배리,0.8203252206213848
배리,0.8203252206213848
없다 촉촉하다,0.8160319913901033
유통 기한,0.8139325379752562
다시,0.8029949638732101
휴대 편하다,0.7992092757267906
피부 클렌징,0.7940017573382955
가로,0.7906461304028932
체험딜,0.7877593365046502
민감하다,0.7721255524849281
촉촉하다 정력,0.7681227961044008
자극 같다,0.7639522719783999
순하다 정력,0.7629396357894078
이렇다,0.7577333942949693
유화,0.7554963012075012
사려,0.7549567374423847
넉넉하다,0.75437843769537
용량 작다,0.753233274825561
밉다,0.7523600015090022
피부 촉촉하다,0.7522940492499036
효과,0.7499456881873503
클렌징 자극,0.7373191645872904
만족하다 만족하다,0.7275987299785172
좋다 크기,0.7248892793227588
크기 여행,0.7248892793227588
놀래다,0.7108031111137898
작다 놀래다,0.7108031111137898
예민,0.7042515010537389
크림 클렌징밀크,0.6994474302264202
성분,0.6982692651610597
빠르다 여행,0.6944192681751715
여행 쓰기,0.6928093813885954
