term,score
자극 없음,1.4217371484717045
클렌징 밀크,0.9750176299726094
싶어서 주문했어요,0.8211917330257845
자극 없이,0.7928847148636239
빠른 배송,0.7656174315577023
체험 딜로,0.7476706301265716
여행용으로 대만족입니다,0.6666212772069992
클렌징밀크는 처음,0.6548478189519362
클렌징 밀크는,0.6451619694865749
좋았으면 좋겠어요,0.6378409269477374
좋으면 구입할게요,0.6146783633518031
저렴한 가격에,0.6003083642502405
클렌징 밀크가,0.5946340265327132
촉촉잘씻깁니다 번창하세요,0.5912424571791419
배송이 빨라서,0.5781133522068723
작아서 여행용으로,0.5774192905142372
배송이빨라좋네요 저렴한가격에잘샀어요,0.5773502691896257
촉촉한데세정력이좋아서사봅니다 좋아요굳,0.5773502691896257
배송 빨라요,0.5462335553319435
용량이 작아서,0.5436955243571178
밀크 사보고,0.5101225927095431
밀크 사보고 싶었는데,0.5101225927095431
사보고 싶었는데,0.5101225927095431
리얼베리어라 믿고,0.5017318093503287
클렌징 오일,0.49602013724228955
사용해볼 있어서,0.4933156417201766
생각보다 크기가,0.49044483789077575
여행용으로 쓰기,0.4826576018927802
쓰고 있어서,0.4674807631375658
저렴하게 사용해볼 있어서,0.4674700533047646
저렴하게 사용해볼,0.4674700533047646
생각보다 작아서,0.46260400004458613
여행용으로 크기도,0.44848642376864534
크기도 작고,0.44848642376864534
여행용으로 크기도 작고,0.44848642376864534
여행용으로 좋구요,0.44233140877199734
크기도 여행용으로,0.44233140877199734
크기도 여행용으로 좋구요,0.44233140877199734
피부에 자극 없음,0.4372432792609157
피부에 자극,0.4372432792609157
빨라서 잘샀어요,0.43611711947832527
배송이 빨라서 잘샀어요,0.43611711947832527
있어서 체험할수잇는양이라,0.42990635154741413
여행갈일 있어서 체험할수잇는양이라,0.42990635154741413
여행갈일 있어서,0.42990635154741413
할인가로 저렴하게,0.4285877916730879
저렴하게 추천합니다,0.4285877916730879
할인가로 저렴하게 추천합니다,0.4285877916730879
여행 사려고,0.4261159070218544
여행 사려고 핸디하고,0.4261159070218544
사려고 핸디하고,0.4261159070218544
후기쓸께요 기대가 큽니다,0.42039220248208753
사용전이라 다시,0.42039220248208753
큽니다 좋았으면 좋겠어요,0.42039220248208753
후기쓸께요 기대가,0.42039220248208753
빠르네요 사용전이라 다시,0.42039220248208753
빠르네요 사용전이라,0.42039220248208753
기대가 큽니다,0.42039220248208753
큽니다 좋았으면,0.42039220248208753
기대가 큽니다 좋았으면,0.42039220248208753
배송 빠르네요,0.42039220248208753
다시 후기쓸께요 기대가,0.42039220248208753
사용전이라 다시 후기쓸께요,0.42039220248208753
배송 빠르네요 사용전이라,0.42039220248208753
다시 후기쓸께요,0.42039220248208753
리얼베리어 제품이,0.41185276584863817
사용해보고 싶어서,0.3982401200741106
클렌징밀크 사용해보고 싶어서,0.3982401200741106
클렌징밀크 사용해보고,0.3982401200741106
리얼베리어 브랜드,0.3967413223727348
클렌징밀크 유목민이었는데,0.3860442455945858
밀크 클렌징이,0.38252323547623746
맘에 들어요,0.37659650864787647
여행가서 쓰기,0.373837977166392
평소 리얼베리어,0.37103597423302853
클렌징밀크를 처음,0.37055933226275417
처음 사용해보는데,0.369110283959667
사용해보는데 만족합니다,0.369110283959667
클렌징밀크는 처음 사용해보는데,0.369110283959667
처음 사용해보는데 만족합니다,0.369110283959667
말안해도 작아서 여행용으로,0.3690466434703971
말안해도 작아서,0.3690466434703971
제품력이야 말안해도 작아서,0.3690466434703971
제품력이야 말안해도,0.3690466434703971
마음에 들어요,0.36272421200460325
품질은 좋았으면,0.3499851720689413
크기가 적네요 품질은,0.3499851720689413
적네요 품질은 좋았으면,0.3499851720689413
크기가 적네요,0.3499851720689413
적네요 품질은,0.3499851720689413
클렌징 밀크더라구요,0.3481488467387836
피부과에서도 클렌징,0.3481488467387836
피부과에서도 클렌징 밀크더라구요,0.3481488467387836
밀크더라구요 잘써볼게요,0.3481488467387836
클렌징 밀크더라구요 잘써볼게요,0.3481488467387836
무난하게 쓰기,0.34702480218074283
무난하게 쓰기 피부자극도,0.34702480218074283
피부자극도 괜춘,0.34702480218074283
쓰기 피부자극도 괜춘,0.34702480218074283
쓰기 피부자극도,0.34702480218074283
들고가기 사이즈 잘쓸게요,0.34659157054844353
여행갈때 들고가기,0.34659157054844353
여행갈때 들고가기 사이즈,0.34659157054844353
사이즈 잘쓸게요,0.34659157054844353
들고가기 사이즈,0.34659157054844353
촉촉 미니해서,0.34330831647450083
미니해서 집에 큰거로쓰고픕니다,0.34330831647450083
미니해서 집에,0.34330831647450083
집에 큰거로쓰고픕니다,0.34330831647450083
촉촉 미니해서 집에,0.34330831647450083
마침 필요했는데,0.34284850321161336
필요했는데 라이브해서,0.34284850321161336
필요했는데 라이브해서 잘쓸게요,0.34284850321161336
마침 필요했는데 라이브해서,0.34284850321161336
라이브해서 잘쓸게요,0.34284850321161336
빠른배송 좋은체험가로 구매할수,0.34226667522402704
빠른배송 좋은체험가로,0.34226667522402704
좋은체험가로 구매할수 있었어요,0.34226667522402704
좋은체험가로 구매할수,0.34226667522402704
구매할수 있었어요,0.34226667522402704
믿고 쓰는,0.34023049000215655
아직사용 안해봤는데 리얼베리어제품은,0.3359437420482561
아직사용 안해봤는데,0.3359437420482561
안해봤는데 리얼베리어제품은,0.3359437420482561
안해봤는데 리얼베리어제품은 좋은거같아요,0.3359437420482561
리얼베리어제품은 좋은거같아요,0.3359437420482561
클렌징 밀크 사보고,0.32884849933947513
사보고 싶었는데 기회로,0.32884849933947513
싶었는데 기회로,0.32884849933947513
주문했어요 배송,0.3285996692216074
주문했어요 배송 빨라요,0.3285996692216074
싶어서 주문했어요 배송,0.3285996692216074
클렌징밀크 싶어서,0.3285996692216074
클렌징밀크 싶어서 주문했어요,0.3285996692216074
없이 세안하기 여행용으로,0.32857356125456244
세안하기 여행용으로 구매했습니다,0.32857356125456244
세안하기 여행용으로,0.32857356125456244
자극 없이 세안하기,0.32857356125456244
없이 세안하기,0.32857356125456244
여행용으로 구매했습니다,0.32857356125456244
부드럽고 세정력이 여행용으로,0.32071624395686904
세정력이 여행용으로,0.32071624395686904
세정력이 여행용으로 쓰기,0.32071624395686904
쓰기 사이즈에요,0.32071624395686904
여행용으로 쓰기 사이즈에요,0.32071624395686904
부드럽고 세정력이,0.32071624395686904
부담 없어서,0.3185258322017494
깨끗이 닦입니다,0.3167698943787268
촉촉함이 남아요,0.31639040214585606
세안 후에도,0.3153780201974132
마침 체험,0.3143965828678257
배송 빠름 생각보다,0.31434491943283355
빠름 생각보다 크기가,0.31434491943283355
배송 빠름,0.31434491943283355
빠름 생각보다,0.31434491943283355
크기가 작아요,0.31434491943283355
생각보다 크기가 작아요,0.31434491943283355
생각보다 촉촉,0.3142132649163601
성분 순한,0.3109761633122907
순한 클렌징밀크를 체험해볼,0.3109761633122907
클렌징밀크를 체험해볼 있어서,0.3109761633122907
성분 순한 클렌징밀크를,0.3109761633122907
클렌징밀크를 체험해볼,0.3109761633122907
순한 클렌징밀크를,0.3109761633122907
체험해볼 있어서,0.3109761633122907
타사 클렌징밀크,0.310713694036288
작아서 그렇긴해요,0.3095677572965308
작아서 그렇긴해요 여행용으로,0.3095677572965308
그렇긴해요 여행용으로 사용해야할듯요,0.3095677572965308
여행용으로 사용해야할듯요,0.3095677572965308
그렇긴해요 여행용으로,0.3095677572965308
용량이 작아서 그렇긴해요,0.3095677572965308
넘넘 순하고,0.30738327348072975
리얼베리어 짱임,0.30738327348072975
넘넘 순하고 지워지고,0.30738327348072975
지워지고 리얼베리어,0.30738327348072975
순하고 지워지고 리얼베리어,0.30738327348072975
순하고 지워지고,0.30738327348072975
지워지고 리얼베리어 짱임,0.30738327348072975
클렌징 밀크를,0.3068292805163283
너무만족합니다좋아용만족합니다 맘에 들어요,0.30410088838420046
들어요 만족합니다,0.30410088838420046
너무만족합니다좋아용만족합니다 맘에,0.30410088838420046
들어요 만족합니다 초이스입니당,0.30410088838420046
맘에 들어요 만족합니다,0.30410088838420046
만족합니다 초이스입니당,0.30410088838420046
빠르게 도착했어요,0.30249428369282316
발림성 배송,0.30249428369282316
촉촉 발림성 배송,0.30249428369282316
배송 빠르게,0.30249428369282316
배송 빠르게 도착했어요,0.30249428369282316
촉촉 발림성,0.30249428369282316
발림성 배송 빠르게,0.30249428369282316
알겠지만 클렌징 하고,0.3019005016705485
하고 촉촉니,0.3019005016705485
클렌징 하고 촉촉니,0.3019005016705485
써봐야 알겠지만,0.3019005016705485
알겠지만 클렌징,0.3019005016705485
써봐야 알겠지만 클렌징,0.3019005016705485
클렌징 하고,0.3019005016705485
