"상품명","키워드","상품원본URL","쿠팡링크","상품이미지URL","상품ID","아이템ID","카테고리","가격","할인율","로켓정보","평점","리뷰수","점수","click_priority","가격대","상품군","계절태그","대상독자","사용장소","문제상황","불편포인트","장점1","장점2","장점3","주의점","검색의도","글관점","제목시드","썸네일프롬프트","CTA문구","광고고지문","수집경로","수집키워드","수집순위","수집일시","used","used_at","post_title"
"신일 26㎡(7.9평) 이동식 에어컨 고객직접설치, SMA-TS900","신일 이동식 에어컨 8평","https://www.coupang.com/vp/products/8113450857","https://www.coupang.com/vp/products/8113450857","","8113450857","","계절가전","445,000원","0","로켓배송, 내일도착","4.5","84","100.04","medium","15만-50만원대","에어컨/냉난방기","여름, 장마철","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람","원룸, 거실, 사무실, 작은 매장","여름 전기요금과 설치 조건을 같이 보면서 냉방 제품을 골라야 할 때","평수, 설치 방식, 배관 조건을 놓치면 가격보다 설치에서 더 크게 막힐 수 있음","공간 면적과 설치 조건을 기준으로 판단하기 좋음","방문설치, 이동식, 창문형처럼 상황별 선택지가 분명함","계절 수요가 강해 구매 전 검색 의도가 뚜렷함","설치비, 배관형, 실외기 위치, 전기요금 부담은 반드시 따로 확인해야 함","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람 기준으로 신일 이동식 에어컨 8평 고를 때 보기 쉬운 구매 전 체크","신일 이동식 에어컨 8평를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 거실, 사무실, 작은 매장 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"신일 이동식 에어컨 고객직접설치, SMA-S9000","신일 이동식 에어컨 SMA-S9000","https://www.coupang.com/vp/products/8279004981","https://www.coupang.com/vp/products/8279004981","","8279004981","","계절가전","460,000원","0","로켓배송, 내일도착","4.5","55","98.3","medium","15만-50만원대","에어컨/냉난방기","여름, 장마철","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람","원룸, 거실, 사무실, 작은 매장","여름 전기요금과 설치 조건을 같이 보면서 냉방 제품을 골라야 할 때","평수, 설치 방식, 배관 조건을 놓치면 가격보다 설치에서 더 크게 막힐 수 있음","공간 면적과 설치 조건을 기준으로 판단하기 좋음","방문설치, 이동식, 창문형처럼 상황별 선택지가 분명함","계절 수요가 강해 구매 전 검색 의도가 뚜렷함","설치비, 배관형, 실외기 위치, 전기요금 부담은 반드시 따로 확인해야 함","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람 기준으로 신일 이동식 에어컨 SMA-S9000 고를 때 보기 쉬운 구매 전 체크","신일 이동식 에어컨 SMA-S9000를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 거실, 사무실, 작은 매장 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"캐리어 인버터 52.8㎡ 벽걸이형 에어컨 방문설치, OARB-0161FAWSD, 일반배관형","캐리어 벽걸이 에어컨 16평 인버터","https://www.coupang.com/vp/products/8051284124","https://www.coupang.com/vp/products/8051284124","","8051284124","","계절가전","999,000원","0","","5.0","92","110.52","medium","50만원 이상","에어컨/냉난방기","여름, 장마철","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람","원룸, 거실, 사무실, 작은 매장","여름 전기요금과 설치 조건을 같이 보면서 냉방 제품을 골라야 할 때","평수, 설치 방식, 배관 조건을 놓치면 가격보다 설치에서 더 크게 막힐 수 있음","공간 면적과 설치 조건을 기준으로 판단하기 좋음","방문설치, 이동식, 창문형처럼 상황별 선택지가 분명함","계절 수요가 강해 구매 전 검색 의도가 뚜렷함","설치비, 배관형, 실외기 위치, 전기요금 부담은 반드시 따로 확인해야 함","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람 기준으로 캐리어 벽걸이 에어컨 16평 인버터 고를 때 보기 쉬운 구매 전 체크","캐리어 벽걸이 에어컨 16평 인버터를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 거실, 사무실, 작은 매장 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"보국전자 5㎡ 북극곰 이동식 에어컨 고객직접설치, BKA-31W07M","보국전자 북극곰 이동식 에어컨","https://www.coupang.com/vp/products/7327054961","https://www.coupang.com/vp/products/7327054961","","7327054961","","계절가전","328,950원","49","로켓배송, 내일도착","4.0","291","102.46","medium","15만-50만원대","에어컨/냉난방기","여름, 장마철","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람","원룸, 거실, 사무실, 작은 매장","여름 전기요금과 설치 조건을 같이 보면서 냉방 제품을 골라야 할 때","평수, 설치 방식, 배관 조건을 놓치면 가격보다 설치에서 더 크게 막힐 수 있음","공간 면적과 설치 조건을 기준으로 판단하기 좋음","방문설치, 이동식, 창문형처럼 상황별 선택지가 분명함","계절 수요가 강해 구매 전 검색 의도가 뚜렷함","설치비, 배관형, 실외기 위치, 전기요금 부담은 반드시 따로 확인해야 함","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람 기준으로 보국전자 북극곰 이동식 에어컨 고를 때 보기 쉬운 구매 전 체크","보국전자 북극곰 이동식 에어컨를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 거실, 사무실, 작은 매장 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"한경희생활과학 초미세풍 발터치 리모컨 선풍기, HAAN-HDC230(화이트)","한경희생활과학 초미세풍 발터치 리모컨 선풍기 HDC230","https://www.coupang.com/vp/products/8049298764?itemId=22568615219","https://www.coupang.com/vp/products/8049298764?itemId=22568615219","","8049298764","22568615219","계절가전","39,900원","34","로켓배송, 내일도착","4.5","6884","405.0","high","3만-7만원대","선풍기/서큘레이터","여름","자취생, 사무실 사용자, 더위를 많이 타는 사람","원룸, 책상, 거실","여름철 방 안 공기가 답답하고 열감이 잘 빠지지 않을 때","소음이나 바람 세기가 애매하면 틀어두고 쓰기 불편함","좁은 공간에서도 체감 시원함을 만들기 좋음","상황에 따라 이동하거나 방향 조절하기 편함","전기요금 부담을 비교적 덜 느끼기 쉬움","냉방기기 대체재라기보다 보조용으로 보는 편이 맞음","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","자취생, 사무실 사용자, 더위를 많이 타는 사람 기준으로 한경희생활과학 초미세풍 발터치 리모컨 선풍기 HDC230 고를 때 보기 쉬운 구매 전 체크","한경희생활과학 초미세풍 발터치 리모컨 선풍기 HDC230를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 책상, 거실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"구스페리 무선 탁상용 선풍기, MCF-001, 블랙","구스페리 무선 탁상용 선풍기","https://www.coupang.com/vp/products/8774310026?itemId=25525188064","https://www.coupang.com/vp/products/8774310026?itemId=25525188064","","8774310026","25525188064","계절가전","14,400원","72","로켓배송, 내일도착","4.5","863","164.78","high","1만-3만원대","선풍기/서큘레이터","여름","자취생, 사무실 사용자, 더위를 많이 타는 사람","원룸, 책상, 거실","여름철 방 안 공기가 답답하고 열감이 잘 빠지지 않을 때","소음이나 바람 세기가 애매하면 틀어두고 쓰기 불편함","좁은 공간에서도 체감 시원함을 만들기 좋음","상황에 따라 이동하거나 방향 조절하기 편함","전기요금 부담을 비교적 덜 느끼기 쉬움","냉방기기 대체재라기보다 보조용으로 보는 편이 맞음","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","자취생, 사무실 사용자, 더위를 많이 타는 사람 기준으로 구스페리 무선 탁상용 선풍기 고를 때 보기 쉬운 구매 전 체크","구스페리 무선 탁상용 선풍기를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 책상, 거실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"NUNUHANA 고속 저소음 미니 접이식 탁상선풍기 R11, 베이지","NUNUHANA 고속 저소음 미니 탁상선풍기 R11","https://www.coupang.com/vp/products/7994400857?itemId=22231812828","https://www.coupang.com/vp/products/7994400857?itemId=22231812828","","7994400857","22231812828","계절가전","14,800원","68","로켓판매자, 내일도착","4.5","834","171.04","high","1만-3만원대","선풍기/서큘레이터","여름","자취생, 사무실 사용자, 더위를 많이 타는 사람","원룸, 책상, 거실","여름철 방 안 공기가 답답하고 열감이 잘 빠지지 않을 때","소음이나 바람 세기가 애매하면 틀어두고 쓰기 불편함","좁은 공간에서도 체감 시원함을 만들기 좋음","상황에 따라 이동하거나 방향 조절하기 편함","전기요금 부담을 비교적 덜 느끼기 쉬움","냉방기기 대체재라기보다 보조용으로 보는 편이 맞음","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","자취생, 사무실 사용자, 더위를 많이 타는 사람 기준으로 NUNUHANA 고속 저소음 미니 탁상선풍기 R11 고를 때 보기 쉬운 구매 전 체크","NUNUHANA 고속 저소음 미니 탁상선풍기 R11를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 책상, 거실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"아이홈즈 에어컨 벽걸이 바람막이 듀얼 팬 에어컨 가드, 1개, 투명","아이홈즈 에어컨 벽걸이 바람막이","https://www.coupang.com/vp/products/8707496070?itemId=25287571251","https://www.coupang.com/vp/products/8707496070?itemId=25287571251","","8707496070","25287571251","계절가전","9,900원","50","로켓판매자, 내일도착","4.5","242","109.52","medium","1만원 미만","에어컨/냉난방기","여름, 장마철","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람","원룸, 거실, 사무실, 작은 매장","여름 전기요금과 설치 조건을 같이 보면서 냉방 제품을 골라야 할 때","평수, 설치 방식, 배관 조건을 놓치면 가격보다 설치에서 더 크게 막힐 수 있음","공간 면적과 설치 조건을 기준으로 판단하기 좋음","방문설치, 이동식, 창문형처럼 상황별 선택지가 분명함","계절 수요가 강해 구매 전 검색 의도가 뚜렷함","설치비, 배관형, 실외기 위치, 전기요금 부담은 반드시 따로 확인해야 함","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","원룸, 거실, 사무실처럼 공간 크기에 맞는 냉방 제품을 찾는 사람 기준으로 아이홈즈 에어컨 벽걸이 바람막이 고를 때 보기 쉬운 구매 전 체크","아이홈즈 에어컨 벽걸이 바람막이를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 거실, 사무실, 작은 매장 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"1+1 사무실 미니 저소음 탁상용 선풍기, USB 미니 선풍기, 네이비","사무실 미니 저소음 탁상용 선풍기","https://www.coupang.com/vp/products/5572691640?itemId=8881414341","https://www.coupang.com/vp/products/5572691640?itemId=8881414341","","5572691640","8881414341","계절가전","11,560원","27","로켓판매자, 내일도착","4.0","1064","182.84","medium","1만-3만원대","선풍기/서큘레이터","여름","자취생, 사무실 사용자, 더위를 많이 타는 사람","원룸, 책상, 거실","여름철 방 안 공기가 답답하고 열감이 잘 빠지지 않을 때","소음이나 바람 세기가 애매하면 틀어두고 쓰기 불편함","좁은 공간에서도 체감 시원함을 만들기 좋음","상황에 따라 이동하거나 방향 조절하기 편함","전기요금 부담을 비교적 덜 느끼기 쉬움","냉방기기 대체재라기보다 보조용으로 보는 편이 맞음","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","자취생, 사무실 사용자, 더위를 많이 타는 사람 기준으로 사무실 미니 저소음 탁상용 선풍기 고를 때 보기 쉬운 구매 전 체크","사무실 미니 저소음 탁상용 선풍기를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 책상, 거실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
"듀플렉스 휴대용 클립형 선풍기, DP-488MF, 화이트","듀플렉스 휴대용 클립형 선풍기 488MF","https://www.coupang.com/vp/products/6674030389?itemId=15365046740","https://www.coupang.com/vp/products/6674030389?itemId=15365046740","","6674030389","15365046740","계절가전","17,800원","64","로켓배송, 내일도착","5.0","2653","282.18","high","1만-3만원대","선풍기/서큘레이터","여름","자취생, 사무실 사용자, 더위를 많이 타는 사람","원룸, 책상, 거실","여름철 방 안 공기가 답답하고 열감이 잘 빠지지 않을 때","소음이나 바람 세기가 애매하면 틀어두고 쓰기 불편함","좁은 공간에서도 체감 시원함을 만들기 좋음","상황에 따라 이동하거나 방향 조절하기 편함","전기요금 부담을 비교적 덜 느끼기 쉬움","냉방기기 대체재라기보다 보조용으로 보는 편이 맞음","문제해결형 추천","구매 전 확인할 조건을 정리하는 체크리스트형","자취생, 사무실 사용자, 더위를 많이 타는 사람 기준으로 듀플렉스 휴대용 클립형 선풍기 488MF 고를 때 보기 쉬운 구매 전 체크","듀플렉스 휴대용 클립형 선풍기 488MF를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 원룸, 책상, 거실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>가전디지털>계절가전","계절가전","","","","",""
