상품명,키워드,상품원본URL,쿠팡링크,상품이미지URL,상품ID,아이템ID,카테고리,가격,할인율,로켓정보,평점,리뷰수,점수,click_priority,가격대,상품군,계절태그,대상독자,사용장소,문제상황,불편포인트,장점1,장점2,장점3,주의점,검색의도,글관점,제목시드,썸네일프롬프트,CTA문구,광고고지문,수집경로,수집키워드,수집순위,수집일시,used,used_at,post_title
"바세린 립 테라피 립밤, 로지립스, 7g, 2개",바세린 테라피 립밤,https://www.coupang.com/vp/products/7673486?itemId=26973647334,https://www.coupang.com/vp/products/7673486?itemId=26973647334,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/01/18/19/1/163854cd-ef91-42e7-9ae2-32e82d00b4f9.jpg,7673486,26973647334,식품,"5,510원",57,"로켓배송, 내일도착",5.0,28467,405.0,high,1만원 미만,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,바세린 테라피 립밤이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 바세린 테라피 립밤 고를 때 보기 쉬운 구매 전 체크,"바세린 테라피 립밤를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,27,2026-05-13 15:04:55,,,
"토니모리 퍼펙트 립스 쇼킹 립틴트, N03 코랄 쇼킹, 1개",토니모리 퍼펙트 립스,https://www.coupang.com/vp/products/8028762974?itemId=23236778236,https://www.coupang.com/vp/products/8028762974?itemId=23236778236,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/321429853877349-a1769f22-7c62-46be-aafe-0fb750e54ee4.jpg,8028762974,23236778236,식품,"10,710원",28,"로켓배송, 내일도착",4.5,28087,405.0,high,1만-3만원대,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,토니모리 퍼펙트 립스이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 토니모리 퍼펙트 립스 고를 때 보기 쉬운 구매 전 체크,"토니모리 퍼펙트 립스를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,195,2026-05-13 15:05:43,,,
"[2입기획] 미샤 수퍼 아쿠아 울트라 히알론 클렌징 폼, 200ml, 2개",2입기획 미샤 수퍼,https://www.coupang.com/vp/products/1601751214?itemId=22948704040,https://www.coupang.com/vp/products/1601751214?itemId=22948704040,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/24592501191712-640f005a-7bf8-4917-ac70-fefb101a5868.jpg,1601751214,22948704040,식품,"8,780원",56,"로켓배송, 내일도착",5.0,27508,405.0,high,1만원 미만,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,2입기획 미샤 수퍼이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 2입기획 미샤 수퍼 고를 때 보기 쉬운 구매 전 체크,"2입기획 미샤 수퍼를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,185,2026-05-13 15:05:42,,,
"네이쳐러브메레 친환경 오리지널 유아 세제, 1.3L, 2개",네이쳐러브메레 친환경 오리지널,https://www.coupang.com/vp/products/9335267853?itemId=8234677,https://www.coupang.com/vp/products/9335267853?itemId=8234677,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/8062/e0b58614315141c0971c2c9fa3f4a406d19bd890756f3b7af9d3d313e3e2.jpg,9335267853,8234677,식품,"10,900원",42,"로켓배송, 내일도착",5.0,26322,415.0,high,1만-3만원대,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,네이쳐러브메레 친환경 오리지널이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 네이쳐러브메레 친환경 오리지널 고를 때 보기 쉬운 구매 전 체크,"네이쳐러브메레 친환경 오리지널를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,175,2026-05-13 15:05:41,,,
"스파크 오리지널 분말세제 리필, 3kg, 1개",스파크 오리지널 분말세제,https://www.coupang.com/vp/products/9335439456?itemId=19932689586,https://www.coupang.com/vp/products/9335439456?itemId=19932689586,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d6c0/e42002f15d70ff01edb35eb92bd0e3635a6a2112abbfb603f64b67dbce60.jpg,9335439456,19932689586,식품,"5,690원",52,"로켓배송, 내일도착",5.0,25963,405.0,high,1만원 미만,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,스파크 오리지널 분말세제이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 스파크 오리지널 분말세제 고를 때 보기 쉬운 구매 전 체크,"스파크 오리지널 분말세제를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,34,2026-05-13 15:04:55,,,
"랩신 브이3 새니타이저 겔 손소독제, 500ml, 1개",랩신 브이3 새니타이저,https://www.coupang.com/vp/products/6742949912?itemId=21353187837,https://www.coupang.com/vp/products/6742949912?itemId=21353187837,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7183049831679383-3d2fdb31-e8f1-4e4c-80f8-11fbd89e6f7b.jpg,6742949912,21353187837,식품,"6,150원",30,"로켓배송, 내일도착",5.0,25961,405.0,high,1만원 미만,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,랩신 브이3 새니타이저이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 랩신 브이3 새니타이저 고를 때 보기 쉬운 구매 전 체크,"랩신 브이3 새니타이저를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,116,2026-05-13 15:05:24,,,
"질레트 포오미 센서티브 스킨 쉐이빙 폼, 175g, 2개",질레트 포오미 센서티브,https://www.coupang.com/vp/products/6834028802?itemId=512542883,https://www.coupang.com/vp/products/6834028802?itemId=512542883,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/562818420362572-e716f3a9-ca1d-49a6-8867-9a8a019a8451.jpg,6834028802,512542883,식품,"6,600원",41,"로켓배송, 내일도착",5.0,22912,405.0,high,1만원 미만,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,질레트 포오미 센서티브이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 질레트 포오미 센서티브 고를 때 보기 쉬운 구매 전 체크,"질레트 포오미 센서티브를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,91,2026-05-13 15:05:12,,,
"마이비데 키즈 화장실용 물티슈 캡형, 40매, 9개",마이비데 키즈 화장실용,https://www.coupang.com/vp/products/8502358197?itemId=3469643955,https://www.coupang.com/vp/products/8502358197?itemId=3469643955,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/5fd4/35f7fb8f4ec961f2a96f8fddf2b2461afb06529264a56cc73a21d41eb334.jpg,8502358197,3469643955,식품,"12,800원",7,"로켓배송, 내일도착",5.0,22717,415.0,high,1만-3만원대,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,마이비데 키즈 화장실용이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 마이비데 키즈 화장실용 고를 때 보기 쉬운 구매 전 체크,"마이비데 키즈 화장실용를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,147,2026-05-13 15:05:28,,,
"요이치 게이밍 마우스 장패드 800 x 300 x 5 mm, 블랙, 1개",요이치 게이밍 마우스,https://www.coupang.com/vp/products/5912978260?itemId=10456923425,https://www.coupang.com/vp/products/5912978260?itemId=10456923425,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dc09/1658cc5bdfb18757afcc55f4b321281e0bcc9e216d82f898a95e1f445a6f.jpg,5912978260,10456923425,식품,"5,900원",70,"로켓배송, 내일도착",5.0,22702,405.0,high,1만원 미만,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,요이치 게이밍 마우스이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 요이치 게이밍 마우스 고를 때 보기 쉬운 구매 전 체크,"요이치 게이밍 마우스를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,92,2026-05-13 15:05:12,,,
"코멧 펫 고양이 쇼파 스크래쳐, 타원형, 1개",코멧 고양이 쇼파,https://www.coupang.com/vp/products/335833200?itemId=17982326014,https://www.coupang.com/vp/products/335833200?itemId=17982326014,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1158299331838980-096ccb93-990c-48c4-97fd-a63106150f94.jpg,335833200,17982326014,식품,"5,690원",0,"로켓배송, 내일도착",5.0,22155,405.0,high,1만원 미만,식품,사계절,구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람,집이나 개인 작업 공간,코멧 고양이 쇼파이 필요하지만 어떤 제품을 골라야 할지 애매할 때,광고성 정보는 많은데 내 상황에 맞는 판단이 어려운 점,실사용 기준으로 접근하기 쉬운 점,가격 대비 만족도를 기대하기 쉬운 점,후기와 정보량이 비교적 많은 점,사용 환경과 예산에 따라 만족도가 달라질 수 있음,문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형",구매 전 후기와 현실적인 추천 포인트를 함께 보는 사람 기준으로 코멧 고양이 쇼파 고를 때 보기 쉬운 구매 전 체크,"코멧 고양이 쇼파를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 집이나 개인 작업 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,71,2026-05-13 15:05:10,,,
