상품명,키워드,상품원본URL,쿠팡링크,상품이미지URL,상품ID,아이템ID,카테고리,가격,할인율,로켓정보,평점,리뷰수,점수,click_priority,가격대,상품군,계절태그,대상독자,사용장소,문제상황,불편포인트,장점1,장점2,장점3,주의점,검색의도,글관점,제목시드,썸네일프롬프트,CTA문구,광고고지문,수집경로,수집키워드,수집순위,수집일시,used,used_at,post_title
"제주삼다수 그린 무라벨, 2L, 12개",제주삼다수 그린 무라벨,https://www.coupang.com/vp/products/7666070794?itemId=23361506529,https://www.coupang.com/vp/products/7666070794?itemId=23361506529,,7666070794,23361506529,식품,"12,240원",5,"로켓배송, 내일도착",5.0,953647,415.0,high,1만-3만원대,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 제주삼다수 그린 무라벨 고를 때 보기 쉬운 구매 전 체크","제주삼다수 그린 무라벨를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"제주삼다수 그린 무라벨, 500ml, 20개",제주삼다수 그린 무라벨,https://www.coupang.com/vp/products/7666070794?itemId=27894199283,https://www.coupang.com/vp/products/7666070794?itemId=27894199283,,7666070794,27894199283,식품,"9,280원",3,"로켓배송, 내일도착",5.0,953647,405.0,high,1만원 미만,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 제주삼다수 그린 무라벨 고를 때 보기 쉬운 구매 전 체크","제주삼다수 그린 무라벨를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"맥심 모카골드 마일드 커피믹스, 12g, 160개입, 1박스",맥심 모카골드 마일드,https://www.coupang.com/vp/products/8328233204?itemId=17657253101,https://www.coupang.com/vp/products/8328233204?itemId=17657253101,,8328233204,17657253101,식품,"25,140원",0,"로켓배송, 내일도착",5.0,503573,415.0,high,1만-3만원대,커피/음료,사계절,"사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고",집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때,"개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수 대비 가격과 소비 속도를 같이 보기 좋음,"사무실용, 집비치용처럼 사용 목적이 분명함",로켓배송과 대량 구성 확인 수요가 높은 편,"당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 맥심 모카골드 마일드 고를 때 보기 쉬운 구매 전 체크","맥심 모카골드 마일드를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"농협 EPC 무항생제 인증 대란 1.56kg, 30구, 1개",농협 EPC 무항생제,https://www.coupang.com/vp/products/8641958104?itemId=25079886057,https://www.coupang.com/vp/products/8641958104?itemId=25079886057,,8641958104,25079886057,식품,"9,990원",0,,5.0,9089,405.0,high,1만원 미만,계란/단백질 간식,사계절,"아침을 간단히 챙기는 사람, 운동 후 간식을 찾는 사람, 아이 간식을 준비하는 가정","냉장고, 주방, 사무실 간식 공간",아침이나 간식으로 먹을 단백질 식품을 미리 준비하고 싶을 때,"개수와 보관 방식, 배송 중 파손 가능성을 같이 봐야 안심하기 쉬움","아침, 간식, 도시락용으로 활용 상황이 분명함",30구 같은 묶음 구성은 가족용과 1인용 판단이 필요함,"등급, 인증, 보관 조건을 비교하기 좋음","냉장 보관, 소비기한, 파손 안내, 인증 정보를 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","아침을 간단히 챙기는 사람, 운동 후 간식을 찾는 사람, 아이 간식을 준비하는 가정 기준으로 농협 EPC 무항생제 고를 때 보기 쉬운 구매 전 체크","농협 EPC 무항생제를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 간식 공간 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"제주삼다수 그린 무라벨, 500ml, 40개",제주삼다수 그린 무라벨,https://www.coupang.com/vp/products/7666070794?itemId=25186190159,https://www.coupang.com/vp/products/7666070794?itemId=25186190159,,7666070794,25186190159,식품,"18,560원",3,"로켓배송, 내일도착",5.0,953647,415.0,high,1만-3만원대,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 제주삼다수 그린 무라벨 고를 때 보기 쉬운 구매 전 체크","제주삼다수 그린 무라벨를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"탐사 샘물 무라벨, 500ml, 80개",탐사 샘물 무라벨,https://www.coupang.com/vp/products/7689270513?itemId=20972233907,https://www.coupang.com/vp/products/7689270513?itemId=20972233907,,7689270513,20972233907,식품,"14,990원",42,"로켓배송, 내일도착",5.0,328434,415.0,high,1만-3만원대,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 탐사 샘물 무라벨 고를 때 보기 쉬운 구매 전 체크","탐사 샘물 무라벨를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"탐사 샘물 무라벨, 2L, 36개",탐사 샘물 무라벨,https://www.coupang.com/vp/products/7689270513?itemId=20877904962,https://www.coupang.com/vp/products/7689270513?itemId=20877904962,,7689270513,20877904962,식품,"15,990원",46,"로켓배송, 내일도착",5.0,328434,415.0,high,1만-3만원대,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 탐사 샘물 무라벨 고를 때 보기 쉬운 구매 전 체크","탐사 샘물 무라벨를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"해표 콩기름 식용유, 1.8L, 2개",해표 콩기름 식용유,https://www.coupang.com/vp/products/487322?itemId=231349355,https://www.coupang.com/vp/products/487322?itemId=231349355,,487322,231349355,식품,"10,480원",0,"로켓배송, 내일도착",5.0,349853,415.0,high,1만-3만원대,소스/조미료,사계절,"집밥을 자주 해먹는 가정, 자취생, 대용량 조미료를 찾는 사람","주방, 팬트리, 조리대 주변",집밥이나 반찬을 자주 만들 때 자주 쓰는 조미료를 미리 준비하고 싶을 때,"용량만 보고 고르면 보관 중 산패, 소비기한, 사용 빈도를 놓치기 쉬움",자주 쓰는 식재료라 용량 대비 가격 확인이 중요함,요리 빈도에 따라 대용량과 소용량 판단이 달라짐,보관 방식과 개봉 후 관리까지 같이 보기 좋음,"개봉 후 보관법, 소비기한, 용량, 원재료 표기를 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","집밥을 자주 해먹는 가정, 자취생, 대용량 조미료를 찾는 사람 기준으로 해표 콩기름 식용유 고를 때 보기 쉬운 구매 전 체크","해표 콩기름 식용유를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 팬트리, 조리대 주변 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"신라면 120g, 5개",신라면 120g 5개,https://www.coupang.com/vp/products/7958974?itemId=93553,https://www.coupang.com/vp/products/7958974?itemId=93553,,7958974,93553,식품,"4,150원",0,"로켓배송, 내일도착",5.0,803892,405.0,high,1만원 미만,라면/간편식,사계절,"자취생, 야식이 잦은 사람, 사무실 간식이나 비상식을 준비하는 사람","자취방, 주방 수납장, 사무실 탕비실",간단히 먹을 비상식품이나 자취방 간편식을 미리 준비하고 싶을 때,"묶음 개수와 보관 공간, 소비기한을 생각하지 않으면 남기기 쉬움",개수와 개당 가격 비교가 구매 판단에 직접 연결됨,보관성이 좋아 비상식품으로 확인하기 쉬움,"가족용, 자취용, 사무실용으로 용도가 뚜렷함","나트륨, 소비기한, 보관 공간, 묶음 개수를 함께 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","자취생, 야식이 잦은 사람, 사무실 간식이나 비상식을 준비하는 사람 기준으로 신라면 120g 5개 고를 때 보기 쉬운 구매 전 체크","신라면 120g 5개를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 자취방, 주방 수납장, 사무실 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"맥심 모카골드 마일드 커피믹스, 12g, 50개입, 1박스",맥심 모카골드 마일드,https://www.coupang.com/vp/products/8328233204?itemId=12814476157,https://www.coupang.com/vp/products/8328233204?itemId=12814476157,,8328233204,12814476157,식품,"8,650원",0,"로켓배송, 내일도착",5.0,503573,405.0,high,1만원 미만,커피/음료,사계절,"사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고",집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때,"개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수 대비 가격과 소비 속도를 같이 보기 좋음,"사무실용, 집비치용처럼 사용 목적이 분명함",로켓배송과 대량 구성 확인 수요가 높은 편,"당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 맥심 모카골드 마일드 고를 때 보기 쉬운 구매 전 체크","맥심 모카골드 마일드를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
