"상품명","키워드","상품원본URL","쿠팡링크","상품이미지URL","상품ID","아이템ID","카테고리","가격","할인율","로켓정보","평점","리뷰수","점수","click_priority","가격대","상품군","계절태그","대상독자","사용장소","문제상황","불편포인트","장점1","장점2","장점3","주의점","검색의도","글관점","제목시드","썸네일프롬프트","CTA문구","광고고지문","수집경로","수집키워드","수집순위","수집일시","used","used_at","post_title"
"맥심 화이트골드 커피믹스, 11.7g, 50개입, 1개","맥심 화이트골드 커피믹스","https://www.coupang.com/vp/products/8290008156?itemId=22963931440","https://www.coupang.com/vp/products/8290008156?itemId=22963931440","","8290008156","22963931440","식품","9,550원","0","로켓배송, 내일도착","5.0","308058","405.0","high","1만원 미만","커피/음료","사계절","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고","집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때","개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움","개수 대비 가격과 소비 속도를 같이 보기 좋음","사무실용, 집비치용처럼 사용 목적이 분명함","로켓배송과 대량 구성 확인 수요가 높은 편","당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 맥심 화이트골드 커피믹스 고를 때 보기 쉬운 구매 전 체크","맥심 화이트골드 커피믹스를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"나랑드사이다 제로, 500ml, 24개","나랑드사이다 제로 500ml","https://www.coupang.com/vp/products/8180059688?itemId=21498094150","https://www.coupang.com/vp/products/8180059688?itemId=21498094150","","8180059688","21498094150","식품","16,960원","8","로켓배송, 내일도착","5.0","156047","415.0","high","1만-3만원대","음료/탄산음료","사계절, 여름","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람","냉장고, 주방, 사무실 탕비실, 팬트리","집이나 사무실에 마실 음료를 박스 단위로 미리 준비하고 싶을 때","개수와 가격만 보면 당류, 카페인, 보관 공간을 놓치기 쉬움","개수와 용량을 기준으로 비교하기 좋음","제로, 소용량, 대용량처럼 선택 기준이 뚜렷함","가정용과 사무실용으로 쓰임이 분명함","당류, 카페인, 보관 공간, 캔이나 페트 용량을 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람 기준으로 나랑드사이다 제로 500ml 고를 때 보기 쉬운 구매 전 체크","나랑드사이다 제로 500ml를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 탕비실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"맥심 화이트골드 커피믹스, 11.7g, 160개입, 2개","맥심 화이트골드 커피믹스","https://www.coupang.com/vp/products/8290008156?itemId=2251502857","https://www.coupang.com/vp/products/8290008156?itemId=2251502857","","8290008156","2251502857","식품","48,270원","0","로켓배송, 내일도착","5.0","308058","415.0","high","3만-7만원대","커피/음료","사계절","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고","집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때","개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움","개수 대비 가격과 소비 속도를 같이 보기 좋음","사무실용, 집비치용처럼 사용 목적이 분명함","로켓배송과 대량 구성 확인 수요가 높은 편","당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 맥심 화이트골드 커피믹스 고를 때 보기 쉬운 구매 전 체크","맥심 화이트골드 커피믹스를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"동화약품 부채표 까스활 소화제, 75ml, 20개","동화약품 부채표 까스활","https://www.coupang.com/vp/products/7299647635?itemId=18774349285","https://www.coupang.com/vp/products/7299647635?itemId=18774349285","","7299647635","18774349285","식품","15,190원","27","로켓배송, 내일도착","5.0","77264","415.0","high","1만-3만원대","음료/탄산음료","사계절, 여름","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람","냉장고, 주방, 사무실 탕비실, 팬트리","집이나 사무실에 마실 음료를 박스 단위로 미리 준비하고 싶을 때","개수와 가격만 보면 당류, 카페인, 보관 공간을 놓치기 쉬움","개수와 용량을 기준으로 비교하기 좋음","제로, 소용량, 대용량처럼 선택 기준이 뚜렷함","가정용과 사무실용으로 쓰임이 분명함","당류, 카페인, 보관 공간, 캔이나 페트 용량을 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람 기준으로 동화약품 부채표 까스활 고를 때 보기 쉬운 구매 전 체크","동화약품 부채표 까스활를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 탕비실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"나랑드사이다 제로, 1.5L, 12개","나랑드사이다 제로 5L","https://www.coupang.com/vp/products/8180059688?itemId=18861958012","https://www.coupang.com/vp/products/8180059688?itemId=18861958012","","8180059688","18861958012","식품","16,300원","14","로켓배송, 내일도착","5.0","156047","415.0","high","1만-3만원대","음료/탄산음료","사계절, 여름","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람","냉장고, 주방, 사무실 탕비실, 팬트리","집이나 사무실에 마실 음료를 박스 단위로 미리 준비하고 싶을 때","개수와 가격만 보면 당류, 카페인, 보관 공간을 놓치기 쉬움","개수와 용량을 기준으로 비교하기 좋음","제로, 소용량, 대용량처럼 선택 기준이 뚜렷함","가정용과 사무실용으로 쓰임이 분명함","당류, 카페인, 보관 공간, 캔이나 페트 용량을 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람 기준으로 나랑드사이다 제로 5L 고를 때 보기 쉬운 구매 전 체크","나랑드사이다 제로 5L를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 탕비실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"맥심 모카골드 마일드 원두커피, 500g, 1개입, 1개","맥심 모카골드 마일드","https://www.coupang.com/vp/products/9402817593?itemId=125523714","https://www.coupang.com/vp/products/9402817593?itemId=125523714","","9402817593","125523714","식품","19,400원","0","로켓배송, 내일도착","5.0","61513","415.0","high","1만-3만원대","커피/음료","사계절","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고","집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때","개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움","개수 대비 가격과 소비 속도를 같이 보기 좋음","사무실용, 집비치용처럼 사용 목적이 분명함","로켓배송과 대량 구성 확인 수요가 높은 편","당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 맥심 모카골드 마일드 고를 때 보기 쉬운 구매 전 체크","맥심 모카골드 마일드를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"맥심 화이트골드 커피믹스, 11.7g, 160개입, 1개","맥심 화이트골드 커피믹스","https://www.coupang.com/vp/products/4549542648?itemId=5519787375","https://www.coupang.com/vp/products/4549542648?itemId=5519787375","","4549542648","5519787375","식품","25,010원","0","","5.0","33462","415.0","high","1만-3만원대","커피/음료","사계절","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고","집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때","개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움","개수 대비 가격과 소비 속도를 같이 보기 좋음","사무실용, 집비치용처럼 사용 목적이 분명함","로켓배송과 대량 구성 확인 수요가 높은 편","당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 맥심 화이트골드 커피믹스 고를 때 보기 쉬운 구매 전 체크","맥심 화이트골드 커피믹스를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"카누 마일드 로스트 아메리카노 미니 원두커피믹스, 900mg, 90개입, 1개","미니 카누 마일드","https://www.coupang.com/vp/products/1391864643?itemId=2427252045","https://www.coupang.com/vp/products/1391864643?itemId=2427252045","","1391864643","2427252045","식품","20,010원","17","","5.0","20349","423.0","high","1만-3만원대","커피/음료","사계절","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고","집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때","개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움","개수 대비 가격과 소비 속도를 같이 보기 좋음","사무실용, 집비치용처럼 사용 목적이 분명함","로켓배송과 대량 구성 확인 수요가 높은 편","당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 미니 카누 마일드 고를 때 보기 쉬운 구매 전 체크","미니 카누 마일드를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"매일바이오 무가당 플레인, 450g, 1개","매일바이오 무가당 플레인","https://www.coupang.com/vp/products/1477952039?itemId=335040131","https://www.coupang.com/vp/products/1477952039?itemId=335040131","","1477952039","335040131","식품","3,600원","0","","5.0","119255","405.0","high","1만원 미만","유제품/간식","사계절","아이 간식, 아침 대용, 사무실 간식용 유제품을 찾는 사람","냉장고, 주방, 사무실 냉장고","아침이나 간식으로 먹을 냉장 식품을 묶음으로 준비하고 싶을 때","냉장 보관과 소비기한을 놓치면 묶음 구매가 오히려 부담될 수 있음","개수와 소비기한을 함께 비교하기 좋음","가족용, 간식용, 아침 대용으로 용도가 분명함","당류와 용량을 같이 확인하기 쉬움","냉장 배송, 소비기한, 당류, 보관 공간을 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","아이 간식, 아침 대용, 사무실 간식용 유제품을 찾는 사람 기준으로 매일바이오 무가당 플레인 고를 때 보기 쉬운 구매 전 체크","매일바이오 무가당 플레인를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
"하늘보리 에코 무라벨, 1.5L, 12개","하늘보리 에코 무라벨","https://www.coupang.com/vp/products/7420809688?itemId=21947270614","https://www.coupang.com/vp/products/7420809688?itemId=21947270614","","7420809688","21947270614","식품","15,900원","0","로켓배송, 내일도착","5.0","43467","415.0","high","1만-3만원대","생수/음료","사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실","생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때","용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음","반복 구매 수요가 높아 구성과 개수 비교가 중요함","500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함","무라벨 여부와 보관 편의성을 함께 판단하기 좋음","박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함","문제해결형 추천","구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 하늘보리 에코 무라벨 고를 때 보기 쉬운 구매 전 체크","하늘보리 에코 무라벨를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.","제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.","로켓배송>식품","식품","","","","",""
