제품의 이름,제품 판매가,할인율,리뷰 별점,리뷰 개수
(예약판매) ASUS 비보북 14 M1405NAQ-LY087W 15.6인치 노트북 AMD 라이젠 5 8GB 512GB 윈도우11홈 사무용 업무용 인강용 대학생 서브,"999,000",9,0,0
삼성 갤럭시북4 NT750XGR-A51A WIN11 FPP(버젼UP설치) 업무용 학생용 사무용 최적화노트북 문스톤그레이,"1,199,000",0,4.91,"1,533"
베이직북14 프로 I5 사무용 가벼운 노트북 업무용 영상편집 윈도우11 8GB/256GB,"499,000",44,0,0
[최대 149만+택1 혜택] 14ZD90U-GX56K LG그램 14 2026 신제품 U5 16GB 256GB OS미탑재 대학생 노트북,"1,822,000",18,4.98,57
239만+한컴+SSD업/HP 오멘 16 AI7 RTX5060 영상편집용 사무용 게이밍 노트북,"2,849,000",30,4.9,280
"HP 15-FD0461TU 8GB, 256GB","999,000",0,4.87,"1,100"
"삼성전자 갤럭시북4 NT750XGR-A71A 16GB, 512GB","1,348,000",0,4.94,"7,659"
"삼성전자 갤럭시북4 NT750XGR-A51A 16GB, 256GB","1,098,000",0,4.93,"12,586"
베이직북14 사무용 가벼운 노트북 업무용 인강용 초경량 윈도우11 8GB/256GB,"698,000",27,4.77,"12,610"
베이직북16 사무용 가벼운 노트북 인강용 업무용 영상편집 윈도우11 16GB/512GB,"898,000",37,4.81,"7,267"
[3종선물드림] NT750XHW-A51A WIN11FPP(버젼UP설치) 삼성전자 갤럭시북5 노트북,"1,419,000",0,5,3
"삼성전자 갤럭시북3 Go NT345XPA-K14A 4GB, 128GB","469,000",0,4.81,"4,277"
"삼성전자 갤럭시북5 프로 NT940XHA-K71AR 32GB, 512GB","2,398,000",0,4.94,"1,187"
[LIVE 141만]2026 LG 그램 14 14ZD95U-GX56K AI 노트북 AMD 라이젠5 16GB 가성비 초경량,"1,766,000",17,4.93,531
삼성 갤럭시북 인강용 사무용 윈도우11 저가 싼 노트북 기본팩,"449,000",18,4.82,"4,734"
LG그램 16 인텔 루나레이크 U5 일러스트 영상편집 코파일럿 가벼운 고사양 AI 노트북,"1,999,000",19,4.94,"2,718"
"삼성전자 갤럭시북5 프로 NT940XHA-K51A 16GB, 256GB","1,967,810",0,4.95,"4,622"
LG그램 15 인텔 i5 16GB 256GB 가벼운 노트북 대학생 직장인 포토샵 영상편집,"1,530,000",14,4.9,"1,418"
[LIVE 283만]LG 그램 프로 17ZD90TR-EX79K 노트북 디자인 고사양 RTX5050 32GB,"3,349,000",16,4.98,175
"삼성전자 갤럭시 북5 NT750XHW-A51A RAM 16GB, 256GB","1,299,000",0,4.96,163
"마이크로소프트 서피스 프로 12인치 스냅드래곤 X 플러스 8코어 RAM 16GB, 256GB","1,198,100",0,4.9,668
"LG전자 그램북 15UD50U-GX5JK RAM 8GB, 256GB","999,000",0,4.94,199
[LIVE 141만]2026 LG 그램 14 14ZD95U-GX5WK AI 노트북 AMD 라이젠5 16GB 가성비 초경량,"1,766,000",17,4.72,18
삼성 갤럭시북5 프로360 NT960QHA 노트북 사무용 AI 대학생 K71AR KD72G,"2,699,000",13,4.95,193
베이직북14 사무용 가벼운 노트북 인강용 업무용 초경량 윈도우11 16GB/512GB,"798,000",31,4.76,"1,113"
"삼성전자 갤럭시북6 프로 NT960XJG-K72A RAM 32GB, 256GB","3,300,000",0,4.97,276
[LIVE 171만]LG 그램 17인치 AI 노트북 인텔 울트라5 고성능 가벼운 사무용 대학생 프리도스 16G,"2,049,000",19,4.94,397
LG그램 노트북 15 인텔 i5 16GB 256GB 가벼운 대학생 포토샵 엘지 노트북,"1,399,000",26,4.92,970
삼성전자 갤럭시북4 대학생 사무용 노트북 NT750XGR-A51A 윈도우11홈탑재,"1,199,000",4,4.93,"1,983"
"LG전자 LG그램 16ZD90TL-GX56K RAM 16GB, 256GB","1,999,000",0,4.94,758
