상품명,키워드,쿠팡링크,카테고리,가격,할인율,로켓정보,평점,리뷰수,상품군,계절태그,대상독자,사용장소,문제상황,장점1,장점2,장점3,주의점,글관점,제목시드,썸네일프롬프트,CTA문구,used,used_at,post_title
"알리사 100단 아이스 터보 MAX 휴대용 선풍기, APF01, 화이트",휴대용 알리사 100단,https://www.coupang.com/vp/products/8719219704,가전디지털,"26,970원",31,"로켓배송, 내일도착",5.0,5636,,,,,,,,,,,,,,Y,2026-05-29 15:59:49,창문형 에어컨 자가설치 방문설치 차이와 설치키트 비용 체크포인트
"홈플래닛 베이직 스탠드 선풍기, NDL2211",홈플래닛 베이직 스탠드,https://www.coupang.com/vp/products/7212367661,가전디지털,"26,190원",0,"로켓배송, 내일도착",4.5,18723,,,,,,,,,,,,,,,,
"르젠 서큘레이터형 풋터치 리모컨 스탠드형 선풍기, LZEF-R132C(클라우드화이트)",르젠 서큘레이터형 풋터치,https://www.coupang.com/vp/products/8744731267,가전디지털,"38,800원",64,"로켓배송, 내일도착",4.5,616,,,,,,,,,,,,,,,,
"홈플래닛 리모컨 스탠드형 서큘레이터, DXH-S12R",홈플래닛 리모컨 스탠드형,https://www.coupang.com/vp/products/7942116067,가전디지털,"36,990원",17,"로켓배송, 내일도착",4.5,1210,,,,,,,,,,,,,,,,
"홈플래닛 발터치 리모컨 스탠드형 선풍기, NDL2316R",홈플래닛 발터치 리모컨,https://www.coupang.com/vp/products/1459643219,가전디지털,"33,890원",0,"로켓배송, 내일도착",4.5,45580,,,,,,,,,,,,,,,,
"에어보나 공업용 대형 메탈 선풍기, AB-9012MF, 실버",에어보나 공업용 대형,https://www.coupang.com/vp/products/8643295552,가전디지털,"35,800원",72,"로켓배송, 내일도착",5.0,3466,,,,,,,,,,,,,,,,
"카프 빅팬 접이식 핸디 선풍기, KF-BigFan01, 카키",카프 빅팬 접이식,https://www.coupang.com/vp/products/8729229302,가전디지털,"24,900원",58,"로켓배송, 내일도착",4.5,849,,,,,,,,,,,,,,,,
"홈플래닛 벅스 킬러 해충 퇴치기 9W, JS30-9W",홈플래닛 벅스 킬러,https://www.coupang.com/vp/products/4918309660,가전디지털,"13,990원",15,"로켓배송, 내일도착",4.0,8850,,,,,,,,,,,,,,,,
"디센느 아이스 넥밴드 선풍기, DSF002, 화이트",디센느 아이스 넥밴드,https://www.coupang.com/vp/products/6557316739,가전디지털,"46,600원",23,"로켓배송, 내일도착",4.0,2139,,,,,,,,,,,,,,,,
"홈플래닛 회전형 서큘레이터 프로, DXH-T8, DXH-T8Pro",홈플래닛 회전형 서큘레이터,https://www.coupang.com/vp/products/7942116115,가전디지털,"19,990원",30,"로켓배송, 내일도착",4.0,543,,,,,,,,,,,,,,,,
"BRUNO 미니 핸디 선풍기, BMF-2115W, 화이트",미니 BRUNO,https://www.coupang.com/vp/products/6339639228,가전디지털,"14,900원",58,"로켓배송, 내일도착",4.5,1613,,,,,,,,,,,,,,,,
"오지렌 초강력 BLDC모터 터보 급속 냉각 에어컨 아이스 휴대용 선풍기, 크림, F-05",휴대용 오지렌 초강력,https://www.coupang.com/vp/products/9350174753,가전디지털,"16,900원",15,"로켓판매자, 내일도착",5.0,159,,,,,,,,,,,,,,Y,2026-05-27 19:01:38,원룸 창문형 에어컨 전기세 소음 설치 기준 구매 전 확인
"블루아이디 무선 넥밴드 휴대용 목 선풍기 140g 초경량, 화이트, BI-NF2W",무선 휴대용 블루아이디,https://www.coupang.com/vp/products/215533604,가전디지털,"29,800원",23,"로켓판매자, 내일도착",4.0,351,,,,,,,,,,,,,,,,
"뉴클 휴대용 탁상용 무선 미니 손선풍기, NCFA-2K-10-FH, 블랙",휴대용 무선 미니,https://www.coupang.com/vp/products/8816125561,가전디지털,"8,500원",69,"로켓배송, 내일도착",5.0,257,,,,,,,,,,,,,,,,
"리드탑 에어컨 바람막이 천장형 실링팬, 1개",리드탑 에어컨 바람막이,https://www.coupang.com/vp/products/7333430492,가전디지털,"28,800원",18,"로켓판매자, 내일도착",5.0,174,,,,,,,,,,,,,,Y,2026-05-27 19:01:38,원룸 창문형 에어컨 전기세 소음 설치 기준 구매 전 확인
"오아 스퀘어 미니 탁상용 무선 휴대용 USB BLDC 선풍기, OFN-041BE, 베이지",미니 무선 휴대용,https://www.coupang.com/vp/products/6402983601,가전디지털,"16,900원",15,"로켓배송, 내일도착",5.0,3934,,,,,,,,,,,,,,,,
"REINA 스탠드형 리모컨 선풍기, CZ-R1485LS",REINA 스탠드형 리모컨,https://www.coupang.com/vp/products/69741793,가전디지털,"29,900원",57,"로켓배송, 내일도착",4.0,7005,,,,,,,,,,,,,,,,
"데이앤에어 프리미엄 24단 BLDC 날개없는 선풍기 음이온 리모컨, DNA-BLDC09",데이앤에어 24단 BLDC,https://www.coupang.com/vp/products/9470001861,가전디지털,"136,900원",40,"로켓판매자, 내일도착",5.0,297,,,,,,,,,,,,,,,,
"한경희생활과학 서큘레이터형 발터치 리모컨 선풍기, HA-HDC520",한경희생활과학 서큘레이터형 발터치,https://www.coupang.com/vp/products/9461484487,가전디지털,"38,900원",44,"로켓배송, 내일도착",4.5,169,,,,,,,,,,,,,,,,
"알리사 급속 냉각 에어컨 무선 휴대용선풍기, GXZ-F31, 베이지",무선 휴대용선풍기 알리사,https://www.coupang.com/vp/products/7999681537,가전디지털,"22,030원",32,"로켓배송, 내일도착",4.5,2487,,,,,,,,,,,,,,Y,2026-05-27 19:01:38,원룸 창문형 에어컨 전기세 소음 설치 기준 구매 전 확인
"JGUG 휴대용 허리 선풍기 강력바람 강도조절 목걸이 손풍기 무선 USB 충전식 바디쿨러, 베이지, K08",휴대용 무선 JGUG,https://www.coupang.com/vp/products/9449557591,가전디지털,"21,800원",75,"로켓판매자, 내일도착",5.0,1354,,,,,,,,,,,,,,,,
친환경 무선 모기퇴치기 휴대용 가정용 캠핑 충전식 벌레 날파리 포충기,무선 휴대용 친환경,https://www.coupang.com/vp/products/8794268635,가전디지털,"34,700원",45,"로켓판매자, 내일도착",4.5,476,,,,,,,,,,,,,,,,
"홈플래닛 탁상용 접이식 미니 선풍기 (휴대 스탠드 핸즈프리), NBC7166, 화이트",미니 홈플래닛 탁상용,https://www.coupang.com/vp/products/1471758571,가전디지털,"12,990원",43,"로켓배송, 내일도착",5.0,5865,,,,,,,,,,,,,,,,
"주닉스 R8 저소음 넥밴드 목걸이 선풍기 LED 배터리 표시, 화이트",저소음 주닉스 R8,https://www.coupang.com/vp/products/7370735896,가전디지털,"9,900원",13,"로켓판매자, 내일도착",4.0,384,,,,,,,,,,,,,,Y,2026-05-27 20:55:32,이동식 에어컨 듀얼덕트 단일덕트 차이와 배수 방식 구매 전 확인
"루메나 휴대용 무선 냉각선풍기, FAN JET ULTRA, 티타늄그레이",휴대용 무선 루메나,https://www.coupang.com/vp/products/8717208468,가전디지털,"56,900원",20,"로켓배송, 내일도착",4.5,894,,,,,,,,,,,,,,,,
"립트 벽걸이 에어컨 물받이 청소 키트, 1개, 블루",립트 벽걸이 에어컨,https://www.coupang.com/vp/products/9531836329,가전디지털,"3,000원",50,"로켓판매자, 내일도착",4.0,14,,,,,,,,,,,,,,Y,2026-05-27 20:55:32,이동식 에어컨 듀얼덕트 단일덕트 차이와 배수 방식 구매 전 확인
"26년형 한경희 토네이도 스탠드 서큘레이터 가정용 업소용 사무실, HAANIOOa",사무실 26년형 한경희,https://www.coupang.com/vp/products/9523841175,가전디지털,"39,900원",32,"로켓판매자, 내일도착",5.0,128,,,,,,,,,,,,,,,,
"홈플래닛 기본형 스탠드 선풍기, NDL1368",홈플래닛 기본형 스탠드,https://www.coupang.com/vp/products/6382601909,가전디지털,"27,890원",0,"로켓배송, 내일도착",4.5,10568,,,,,,,,,,,,,,,,
"[저소음] 파인큐브 미니 충전식 무소음 100단 탁상용선풍기, 블랙, AIR-CUBE",저소음 미니,https://www.coupang.com/vp/products/9485230658,가전디지털,"29,800원",69,"로켓판매자, 내일도착",5.0,59,,,,,,,,,,,,,,Y,2026-05-27 20:55:32,이동식 에어컨 듀얼덕트 단일덕트 차이와 배수 방식 구매 전 확인
[NEW] 날개없는선풍기 타워형 아기 신생아 리모컨형 가정용 스탠드,NEW 날개없는선풍기 타워형,https://www.coupang.com/vp/products/9505689880,가전디지털,"79,000원",27,"로켓판매자, 내일도착",5.0,127,,,,,,,,,,,,,,,,
"실피드 에어컨실링팬 시스템 무동력바람개비 날개 순환팬 가드 프로펠러 바람막이, 1개, 화이트",실피드 에어컨실링팬 시스템,https://www.coupang.com/vp/products/9435038374,가전디지털,"19,500원",15,"로켓판매자, 내일도착",5.0,118,,,,,,,,,,,,,,Y,2026-05-28 14:09:24,실외기 없는 에어컨 원룸 장단점과 대체 냉방 구매 전 확인
"솔러스에어 테이블팬 선풍기 AIR601TF, AIR601TFG, 그레이",솔러스에어 테이블팬 선풍기,https://www.coupang.com/vp/products/8059636778,가전디지털,"29,800원",47,"로켓배송, 내일도착",5.0,15966,,,,,,,,,,,,,,,,
"Darlisex 에어 서큘레이터 저소음 무선 써큘레이터 + 리모컨, F268A-화이트",저소음 무선 Darlisex,https://www.coupang.com/vp/products/8665963727,가전디지털,"34,200원",61,"로켓판매자, 내일도착",5.0,1239,,,,,,,,,,,,,,,,
"포첸 초미풍 발터치 리모컨 선풍기, PCF-F614",포첸 초미풍 발터치,https://www.coupang.com/vp/products/8068596789,가전디지털,"31,900원",25,"로켓배송, 내일도착",4.5,1410,,,,,,,,,,,,,,,,
"오브셀 100단 급속 냉각 무선 휴대용 선풍기, 그레이, SDOB-300",무선 휴대용 오브셀,https://www.coupang.com/vp/products/8710287863,가전디지털,"24,800원",4,"로켓판매자, 내일도착",5.0,623,,,,,,,,,,,,,,,,
"코멧 에어컨 실외기 8중 난연 과열 방지 열 차단 절전 커버 T 9mm 국내생산, 1개",코멧 에어컨 실외기,https://www.coupang.com/vp/products/1765604934,가전디지털,"7,490원",31,"로켓배송, 내일도착",4.5,6294,,,,,,,,,,,,,,Y,2026-05-28 18:08:35,작은방 에어컨 평수 5평 7평 9평 냉방면적 선택 가이드
